Bundle_ID,Discount_Level,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund,ROI
BNDL_05E630,37,49312.43,24,2.0,98.19923698751005
BNDL_05GNUK,47,35354.75,99,2.0,86.83910931345858
BNDL_05J43V,38,68918.4,123,2.0,93.21806658308957
BNDL_05P7OG,47,26167.44,69,2.0,87.60673569902137
BNDL_05R344,30,87477.09,45,3.0,98.45673878726419
BNDL_061MAQ,69,8376.77,72,1.0,40.69313112333274
BNDL_063CNJ,26,73140.01,187,1.0,93.35247561491992
BNDL_0640L1,56,64465.17,197,2.0,82.88688294779956
BNDL_0653XK,50,73810.43,121,1.0,91.80332644045022
BNDL_065QDQ,49,82680.04,159,4.0,90.57692763573893
BNDL_067X77,45,9310.17,75,4.0,63.749319292773386
BNDL_069F6L,52,62838.36,129,3.0,89.32499193167996
BNDL_069I52,27,35749.05,40,4.0,96.97894069912347
BNDL_06F1CU,26,61690.84,68,1.0,97.13409640718136
BNDL_06FERV,11,17723.89,130,3.0,91.93179375407995
BNDL_06HLN9,26,66212.35,133,1.0,94.77740935037043
BNDL_07A44I,39,75684.9,15,2.0,99.22705850176192
BNDL_07CY5R,30,18907.63,199,2.0,68.42544517742309
BNDL_07EZHK,11,29510.88,115,1.0,95.71344534625874
BNDL_07O2CZ,33,95854.73,66,1.0,97.72781165832922
BNDL_081G8R,65,50854.86,59,1.0,92.45893116213475
BNDL_083H3X,41,25936.85,99,1.0,84.35045119202988
BNDL_0876TE,38,2026.73,122,2.0,-128.7428517858817
BNDL_08DIJV,63,45835.69,100,3.0,86.25525218448767
BNDL_08EA6Z,10,38522.1,9,4.0,99.76636787714065
BNDL_08M9D6,55,58812.13,49,1.0,95.41761197902542
BNDL_08O4RD,22,2007.86,26,2.0,71.51195800504019
BNDL_08W8QP,39,70610.3,81,3.0,95.52614845142989
BNDL_08Z25N,37,77112.23,142,2.0,93.18655419509979
BNDL_0935O4,40,7348.9,8,4.0,95.6456068255113
BNDL_094C6M,17,56355.91,138,3.0,95.83717129223892
BNDL_0958T0,66,36747.37,30,1.0,94.6118592976858
BNDL_09GSKX,48,11501.25,153,1.0,36.146071079230516
BNDL_09KTDH,42,81193.61,137,4.0,92.9132354134765
BNDL_09PEG1,60,94987.51,34,1.0,97.85234921938685
BNDL_09SBBN,20,43196.78,182,4.0,91.57344598370527
BNDL_09SCAW,33,48780.35,32,2.0,97.83519388442272
BNDL_09X7VZ,45,32082.7,140,2.0,80.36324872906582
BNDL_09XRCR,49,79454.38,190,4.0,88.28258429554167
BNDL_09ZOEO,36,95825.22,192,4.0,92.7868675908075
BNDL_0A9AM7,38,34313.25,10,4.0,98.89255608256285
BNDL_0AFKE0,19,16514.63,151,4.0,82.62752480679252
BNDL_0AFPRF,51,98870.92,140,3.0,92.77846307084025
BNDL_0AOOTF,27,28805.73,25,1.0,97.65671621583623
BNDL_0AT7PC,47,1079.36,14,2.0,39.03794841387489
BNDL_0B1K4I,30,10227.53,23,3.0,93.25350304521228
BNDL_0BDK1M,46,23660.02,55,3.0,89.30685603816057
BNDL_0BFQ2D,54,31978.23,11,2.0,98.14248631021792
BNDL_0BHF9D,14,5398.82,25,4.0,93.51710188522677
BNDL_0BOJ6Y,34,6173.47,82,2.0,54.8390127432384
BNDL_0BXI1V,51,94609.45,181,4.0,90.24304654556178
BNDL_0C0R5N,14,5668.18,53,2.0,86.90937831896657
BNDL_0C4K00,54,35739.96,2,4.0,99.69781723314743
BNDL_0C9S8R,16,88664.37,15,4.0,99.7293162969522
BNDL_0CEHP4,66,9543.6,117,2.0,19.087136929460584
BNDL_0CLFYJ,55,57331.7,148,2.0,85.80192110124068
BNDL_0CTTRS,39,38406.41,29,2.0,97.05517907036872
BNDL_0CUXDB,59,37118.37,179,1.0,71.54778078886545
BNDL_0D0SWJ,58,83861.57,65,3.0,95.50449627880803
BNDL_0D4QQL,42,97751.28,114,3.0,95.10185442072984
BNDL_0DOIBC,54,56000.92,111,3.0,89.29660441292751
BNDL_0DPDUJ,46,85184.78,92,4.0,95.03197636948761
BNDL_0DQHN2,32,3344.26,84,4.0,19.623474251403902
BNDL_0DVKOK,18,74457.3,43,2.0,98.96047801894508
BNDL_0DZDM1,47,91433.23,71,2.0,96.35034221146951
BNDL_0EA77R,31,40781.57,27,4.0,97.94760231153435
BNDL_0EHDNR,23,35786.84,184,2.0,88.17442389437011
BNDL_0EPMSP,63,37496.89,25,4.0,95.79965165111027
BNDL_0ES18N,50,39366.0,165,1.0,79.04282883706753
BNDL_0ET74B,21,41298.26,108,2.0,94.50824320443525
BNDL_0EXROB,10,73502.78,172,3.0,97.65995245349903
BNDL_0EZV38,26,64180.87,112,1.0,95.46282248900646
BNDL_0F6YAD,64,56212.82,132,1.0,84.97139976254527
BNDL_0F93NM,47,1746.81,180,2.0,-384.31140192694113
BNDL_0FEBZ3,16,15362.33,16,2.0,98.33358611616858
BNDL_0FIJCZ,27,39071.82,63,3.0,95.64647871535034
BNDL_0FILLP,54,19915.15,9,1.0,97.5596468015556
BNDL_0FNM17,32,81097.28,177,3.0,93.01579535096614
BNDL_0FV1ED,68,19850.92,158,4.0,45.876563907365494
BNDL_0FVDP0,14,58289.94,150,4.0,96.39732001782811
BNDL_0FY8L4,11,25487.95,122,3.0,94.73476682118412
BNDL_0G4JHT,64,88543.37,190,1.0,86.26661713914888
BNDL_0GB329,20,10851.29,113,4.0,79.17298311997929
BNDL_0GDKBY,26,79627.69,148,3.0,95.16751019651582
BNDL_0GLI8C,48,7574.29,40,2.0,74.65108940904031
BNDL_0GP18F,22,77812.3,159,1.0,95.5045667587258
BNDL_0GPGNL,28,39786.65,62,1.0,95.63672739474171
BNDL_0GZHF7,29,60856.28,145,4.0,93.09027761802069
BNDL_0HBMQF,24,81158.22,9,4.0,99.73385320673617
BNDL_0HCFLP,61,26524.05,121,4.0,72.17242464857365
BNDL_0HH73M,16,90787.14,60,4.0,98.94258151539965
BNDL_0HJFYJ,45,95210.21,112,1.0,94.70645007504972
BNDL_0HNLC9,53,85986.79,151,3.0,90.69275641060679
BNDL_0HTY5E,30,84361.2,11,4.0,99.60882491002972
BNDL_0HY0EF,51,32585.62,160,4.0,74.95827914276298
BNDL_0I14JR,15,39799.07,115,1.0,95.66572786751047
BNDL_0I3LTE,26,4621.29,94,1.0,47.11433387647172
BNDL_0I5GRW,29,78809.04,66,2.0,97.57134460716689
BNDL_0ICSOZ,11,59989.31,115,2.0,97.89129096500693
BNDL_0IDSRB,45,96351.73,192,3.0,91.03285431408445
BNDL_0IF2GC,53,88119.65,171,2.0,89.71512029382777
BNDL_0IOPOY,56,22197.68,48,1.0,87.89062640780479
BNDL_0IQS5V,61,57522.38,184,2.0,80.4875945675405
BNDL_0J2ZNC,68,59337.82,196,4.0,77.53877712393209
BNDL_0J87V2,24,31816.51,45,1.0,96.60553593087361
BNDL_0JL1UX,32,4654.9,4,4.0,97.25020945670154
BNDL_0JL5JO,14,99043.73,135,1.0,98.09175199682
BNDL_0JP9V9,38,71818.47,150,1.0,92.06332298641283
BNDL_0JR2B2,33,51631.38,129,2.0,91.7550141018892
BNDL_0K5KJ4,20,82054.47,89,2.0,97.83070928372337
BNDL_0KUS6U,16,87548.73,116,1.0,97.88003778010258
BNDL_0L1HLI,47,79075.93,33,2.0,98.03859404498941
BNDL_0L2VTO,67,25019.2,182,1.0,51.26143122082241
BNDL_0L5HA6,53,85246.3,138,1.0,91.42015547888882
BNDL_0LD2NW,62,9630.8,182,1.0,-17.165759853802392
BNDL_0LPRZH,66,99006.94,120,3.0,92.00056076877036
BNDL_0LSKU2,31,73530.55,121,1.0,94.89871896783038
BNDL_0LTQ5F,10,60351.88,61,2.0,98.98926098076812
BNDL_0M9J57,35,72777.84,167,3.0,91.96870915652346
BNDL_0MBPXG,66,16964.93,66,1.0,74.32350148217529
BNDL_0MMBCV,36,26248.14,56,1.0,92.31945577858089
BNDL_0MW3N3,39,5351.24,182,3.0,-32.64215396805227
BNDL_0MWO34,19,25130.08,93,4.0,92.96858585408403
BNDL_0MX9T7,34,11742.17,84,3.0,75.67740886054281
BNDL_0N4LMF,18,65176.51,75,2.0,97.92870161351075
BNDL_0N4TPH,33,69288.59,57,2.0,97.28526731457518
BNDL_0N6ZPD,66,30021.92,196,2.0,56.9114833428375
BNDL_0NBKS1,51,56033.81,116,3.0,89.44208862470711
BNDL_0NCKZC,19,90840.64,121,2.0,97.4691944046189
BNDL_0NGAP4,50,27440.88,57,1.0,89.61403570147897
BNDL_0NI8EU,46,57129.83,51,2.0,95.89356383521533
BNDL_0NJRJS,47,19734.75,124,1.0,70.46833631031556
BNDL_0NV09K,51,74177.77,169,4.0,88.38061591767992
BNDL_0NZERY,43,52874.82,191,1.0,84.46708660190238
BNDL_0O564Q,67,23674.78,79,4.0,77.64287566769363
BNDL_0O7PU0,69,67391.3,55,4.0,94.36870931411028
BNDL_0O8578,10,98502.9,85,2.0,99.13708124329335
BNDL_0O9SZT,26,60582.78,113,1.0,95.1504371374176
BNDL_0OCQS2,29,62759.51,83,2.0,96.16472467678604
BNDL_0P0Q3R,14,76039.17,58,2.0,98.93212932229534
BNDL_0P2LX8,34,38092.86,185,3.0,83.48771922087236
BNDL_0PM7T3,62,19121.26,24,3.0,92.21808604663082
BNDL_0PSNNJ,50,76705.56,150,1.0,90.22235154791908
BNDL_0PUG56,10,89367.06,134,2.0,98.5005660922492
BNDL_0PVMGZ,24,2531.51,91,3.0,13.727380101204428
BNDL_0Q04UT,46,66196.96,85,2.0,94.09338434876769
BNDL_0QAT4F,31,2429.11,178,2.0,-127.16138832741208
BNDL_0QDWIY,68,37607.38,166,1.0,69.98461472189767
BNDL_0QRSZB,39,7050.89,169,2.0,6.5224390112453925
BNDL_0QWSUQ,12,7801.36,57,3.0,91.23229795830471
BNDL_0QX33R,15,21227.06,178,3.0,87.42171548956851
BNDL_0R1VL7,60,96739.57,126,3.0,92.18520404835374
BNDL_0R3YYK,67,4558.05,166,2.0,-144.00785423591228
BNDL_0R5REF,52,51969.18,100,3.0,89.99406956199809
BNDL_0RJZJJ,57,98437.96,114,3.0,93.39888798995834
BNDL_0RM6Z5,46,13114.14,88,1.0,69.13255463187063
BNDL_0RMMXG,42,53061.72,72,3.0,94.30097629703673
BNDL_0S7TNO,39,95259.48,169,3.0,93.08100359145357
BNDL_0S84CH,51,74997.61,136,4.0,90.75170528767516
BNDL_0SCQL3,16,79142.79,128,2.0,97.41227217286628
BNDL_0SEO2Q,56,89292.69,154,1.0,90.34187457002359
BNDL_0SGED1,33,11940.81,12,3.0,96.68364206448307
BNDL_0SJQY3,58,63982.11,57,2.0,94.8329306426437
BNDL_0SLDT4,23,63929.37,12,2.0,99.5682735493874
BNDL_0SNJ8K,13,22905.91,131,4.0,92.56523753040155
BNDL_0SSBI1,54,22949.55,129,3.0,69.64646365615012
BNDL_0SV54B,57,24982.85,44,3.0,89.96111332374008
BNDL_0SVFQM,20,31790.17,176,2.0,88.92739485193064
BNDL_0T1ZKF,32,84429.61,183,1.0,93.06404471132818
BNDL_0T2VYM,39,69245.15,196,3.0,88.9609597206447
BNDL_0T70W8,37,13445.75,33,2.0,90.91906364464609
BNDL_0TBCJ2,33,96404.63,171,1.0,94.1465466959419
BNDL_0TE8EP,50,4081.2,170,1.0,-108.27207684014506
BNDL_0TG5IE,28,42917.61,91,2.0,94.06304311912989
BNDL_0TMXF6,56,37739.04,100,4.0,85.16125476429714
BNDL_0TOCI4,49,19601.76,6,2.0,98.50013468178368
BNDL_0TZ2D0,47,36617.3,32,2.0,95.89265183396918
BNDL_0U1I7F,42,88851.65,115,2.0,94.56397264428966
BNDL_0U6OHF,18,33978.16,153,4.0,91.89479359682808
BNDL_0U6V82,56,29110.45,136,4.0,73.83757379222925
BNDL_0U9BDU,29,73281.56,157,4.0,93.7869772422967
BNDL_0UBCGY,67,77904.02,198,4.0,82.97135372475002
BNDL_0UJ3YG,31,11313.13,176,1.0,51.772851545063126
BNDL_0UO1V8,62,86994.07,31,1.0,97.79065400664666
BNDL_0UPT6N,60,93660.83,13,2.0,99.16720789256298
BNDL_0URSCB,51,29034.31,192,4.0,66.2743836516177
BNDL_0UT3LV,61,47263.18,20,3.0,97.41870944781962
BNDL_0UY7M6,55,63120.89,23,3.0,97.99590911978586
BNDL_0V2GMJ,40,68028.9,57,2.0,96.6484832181617
BNDL_0V355I,37,83810.18,9,4.0,99.60267356543083
BNDL_0V68SG,50,20711.62,111,3.0,73.20344811270195
BNDL_0V6B5Y,39,33717.39,68,2.0,92.13462251971461
BNDL_0VCD1Z,14,70755.79,41,4.0,99.1887589694073
BNDL_0VD4F9,19,77923.65,187,3.0,95.44040865642202
BNDL_0VEW87,36,77332.23,27,3.0,98.74308551557351
BNDL_0VG01F,24,14328.51,87,2.0,85.42765437578646
BNDL_0VMAKO,31,63967.72,122,1.0,94.08764295491538
BNDL_0VQT6U,55,23543.83,153,2.0,64.25815171108525
BNDL_0VSWRO,59,88197.3,65,4.0,95.65179432930486
BNDL_0VXXN8,15,87345.56,80,1.0,98.62614653795796
BNDL_0W2691,65,30414.98,91,3.0,80.55234624517261
BNDL_0W871K,15,96302.45,163,3.0,97.46112378241675
BNDL_0W8LGC,19,79619.0,57,1.0,98.63977191373918
BNDL_0WAI0V,16,46699.27,172,3.0,94.10697426319513
BNDL_0WCAMR,59,99226.29,61,3.0,96.3729370512593
BNDL_0WEFGK,57,88889.73,150,2.0,90.38134101656064
BNDL_0WL5R5,16,57898.14,91,3.0,97.48523873133057
BNDL_0WTYO5,13,74244.12,39,2.0,99.31711763840691
BNDL_0WWX1S,41,76430.25,52,1.0,97.21052855381214
BNDL_0WWYH3,60,43001.79,121,3.0,83.11698187447546
BNDL_0X0S26,29,5092.06,142,2.0,19.1289969089131
BNDL_0X1Q46,26,79886.91,198,2.0,93.5558904456312
BNDL_0X38WV,55,5407.62,110,4.0,-11.879163106875115
BNDL_0X4LDT,44,6664.3,111,4.0,26.71398346412977
BNDL_0X5DK3,28,52865.33,42,1.0,97.77547969529368
BNDL_0X5RZG,52,7525.7,73,1.0,49.559509414406634
BNDL_0X8GY0,23,50750.78,5,3.0,99.77340249745914
BNDL_0X9YYO,46,98572.06,69,4.0,96.78002062653454
BNDL_0XH83S,67,43361.62,87,3.0,86.55723656081115
BNDL_0XLCGO,61,33018.06,173,3.0,68.03870366702344
BNDL_0XS0R8,15,61504.02,196,1.0,95.219824655364
BNDL_0XUSJ6,44,40736.85,18,4.0,98.05581433026855
BNDL_0XWPSA,13,65818.26,44,1.0,99.13094025882788
BNDL_0XZBUS,36,6707.58,180,4.0,3.3928779082769034
BNDL_0XZHCO,20,35858.68,132,4.0,92.63776580733033
BNDL_0Y46WV,62,47688.57,74,1.0,90.37924601219956
BNDL_0Y7WA1,33,75688.94,163,4.0,92.89328136977475
BNDL_0YGXFY,67,69641.84,147,3.0,85.85763960285942
BNDL_0YJAIV,15,51274.93,14,3.0,99.59044312688482
BNDL_0YP28F,63,60785.55,82,4.0,91.50126962740323
BNDL_0YSIGZ,58,89494.32,184,3.0,88.0752208631788
BNDL_0YX3J2,43,71101.06,58,4.0,96.49231671089011
BNDL_0YYFQ1,59,34276.28,35,4.0,93.9754255712697
BNDL_0YYX4Y,38,86923.76,123,4.0,94.62287411405121
BNDL_0YZF2G,45,34693.61,121,1.0,84.30546720275002
BNDL_0Z0ZQP,15,73423.51,8,2.0,99.8365646098913
BNDL_0Z4T6R,15,60307.21,44,1.0,98.90560349251773
BNDL_0Z8GDM,10,32388.4,187,1.0,94.22632794457274
BNDL_0ZACSS,28,94525.46,24,4.0,99.28908042341185
BNDL_0ZHU8X,42,62267.29,194,3.0,86.91447789039799
BNDL_0ZOBE4,68,53220.84,91,2.0,88.3729756989931
BNDL_0ZV6IU,33,12765.15,42,3.0,89.14231325131314
BNDL_106J7W,10,17285.74,16,1.0,99.07438154224234
BNDL_107FML,34,78818.41,110,2.0,95.25491569799492
BNDL_10G4O1,40,5528.63,158,3.0,-14.314034399118766
BNDL_10QPE8,42,43040.96,102,2.0,90.04669040839238
BNDL_112OJQ,43,2832.46,2,4.0,96.96377000910869
BNDL_114RV3,61,93139.03,184,1.0,87.94919809665186
BNDL_116GOH,56,32354.56,180,3.0,68.84519523677652
BNDL_11E82L,19,21514.82,90,3.0,92.05199020953928
BNDL_11YRA4,56,26667.47,179,2.0,62.41113236463751
BNDL_11ZK2B,68,2073.3,73,4.0,-139.42507114262287
BNDL_12A66B,39,99753.09,116,4.0,95.46480214297121
BNDL_12B34B,54,42530.6,150,1.0,80.95488895054385
BNDL_12LKQL,18,3315.14,12,1.0,93.48443806294758
BNDL_12MLFH,36,45081.65,134,2.0,89.29941561588805
BNDL_12NHYK,41,22801.58,4,1.0,99.28075159703845
BNDL_12QD3E,30,28275.69,41,2.0,95.64997352849744
BNDL_12U7HZ,48,26450.22,143,4.0,74.04936518486424
BNDL_12ZIXW,64,58089.39,55,1.0,93.94037362072488
BNDL_131QX9,37,84259.31,137,1.0,93.98404757883728
BNDL_133KYA,52,21633.36,79,2.0,81.01080923166812
BNDL_139SSH,55,56545.49,11,4.0,98.93006497954126
BNDL_13D7XY,36,81722.54,188,3.0,91.71831908308283
BNDL_13GE7P,21,42037.25,198,2.0,90.1087725767028
BNDL_13X695,27,30247.73,24,2.0,97.85769047793008
BNDL_13XS7Y,12,65971.88,15,3.0,99.72715647939698
BNDL_13ZA4E,68,66381.74,175,2.0,82.07338343345624
BNDL_144JX9,38,44553.38,138,1.0,88.22984922804959
BNDL_14N8WE,28,18738.16,172,1.0,74.29843698634231
BNDL_14OWFQ,57,37921.18,47,1.0,92.93534642118205
BNDL_14R33T,23,38452.93,66,2.0,96.05231642946325
BNDL_14SYNV,30,32534.87,148,3.0,86.35310360852833
BNDL_1504M3,45,86203.24,115,3.0,93.99674536595144
BNDL_150LQ8,29,81935.61,44,4.0,98.44267956264682
BNDL_153XGE,11,93804.57,107,1.0,98.74526369024451
BNDL_15GF9W,27,17728.01,161,1.0,75.47948134054528
BNDL_15LFK6,35,55176.35,84,3.0,94.67163014588678
BNDL_1639KZ,64,81385.63,119,1.0,90.64208263793006
BNDL_16416V,18,46094.93,9,1.0,99.64855136996628
BNDL_1663RF,31,71065.48,52,3.0,97.73166944063418
BNDL_16CQWU,66,60442.33,37,1.0,95.9597851373367
BNDL_16GVZ8,23,13854.99,69,3.0,88.54564312208093
BNDL_16NHSO,53,53101.56,93,2.0,90.71778682208206
BNDL_16NLKY,31,41951.94,161,2.0,88.10305316035445
BNDL_16O9T0,46,97901.93,16,2.0,99.24822728213836
BNDL_16OVYQ,69,4940.66,161,2.0,-124.84850202199706
BNDL_16X1CJ,55,71835.65,153,3.0,88.2857606216412
BNDL_171DOF,42,18668.49,186,1.0,58.154087448958116
BNDL_1724IB,50,60177.67,84,1.0,93.02066696832895
BNDL_1785UU,14,99859.2,154,4.0,97.84096007178107
BNDL_17DHSU,25,76466.62,119,1.0,96.10941349310326
BNDL_17F1RD,32,68508.48,93,2.0,95.65601221921725
BNDL_17K2N3,26,32430.62,66,2.0,94.7087043047589
BNDL_17L5BF,10,80809.94,103,1.0,98.72540432525999
BNDL_182AQG,69,34736.78,62,1.0,87.68452343596614
BNDL_185M03,29,95824.99,85,2.0,97.42760213176125
BNDL_189AW1,24,40477.4,50,2.0,97.03538270738733
BNDL_18AGD9,39,39945.41,129,1.0,87.40531139873143
BNDL_18Z27M,10,69745.44,66,4.0,99.0537015753288
BNDL_1942OK,63,72991.88,118,4.0,89.81530548329485
BNDL_195R3Y,22,58164.2,77,4.0,97.08755557542268
BNDL_196ST0,33,57519.03,35,2.0,97.99196891880825
BNDL_1985W3,27,68112.11,38,4.0,98.49365993800515
BNDL_1987LO,25,69988.15,82,4.0,97.07093272218226
BNDL_198AZ8,39,77706.42,147,4.0,92.62223121332832
BNDL_19L5RK,31,9530.52,10,1.0,96.74729185815674
BNDL_19XYW1,54,29255.04,129,3.0,76.18871825162434
BNDL_19YAFJ,37,37783.09,96,3.0,90.59896900968131
BNDL_1A2HKX,61,2436.03,156,1.0,-290.63558330562427
BNDL_1A8T27,43,59165.15,105,4.0,92.3688184683044
BNDL_1AHBYN,57,48239.64,116,1.0,86.293430050473
BNDL_1AJOLF,48,2922.71,63,1.0,-3.465619236941057
BNDL_1APGMR,10,56860.23,182,3.0,96.79916876875102
BNDL_1ASUHF,48,93006.52,104,4.0,94.63263435724721
BNDL_1B3Y0T,29,15169.96,100,3.0,80.88327194007104
BNDL_1B5061,41,28866.58,163,1.0,76.84866028466136
BNDL_1B6LOF,23,80337.69,38,4.0,98.91209219483407
BNDL_1BHJO3,30,37139.3,19,4.0,98.46523763237326
BNDL_1BZX7Q,21,12126.72,173,2.0,70.04136320455984
BNDL_1C9VBR,49,81351.6,192,4.0,88.4353841842078
BNDL_1CBQ2A,41,22317.28,77,1.0,85.85401088304668
BNDL_1CC57D,23,18871.42,40,1.0,95.1249031604405
BNDL_1CCEFB,48,55615.64,129,3.0,88.86644116654955
BNDL_1CH6Y6,44,65750.93,178,2.0,88.08838141148726
BNDL_1CSY2S,38,76760.49,1,2.0,99.95049536551942
BNDL_1CZ69G,41,42319.38,88,1.0,91.47435524811563
BNDL_1D45I0,18,90553.83,104,1.0,97.93272134375763
BNDL_1D4H2I,22,37785.42,38,3.0,97.78750639797043
BNDL_1D78G9,20,57680.38,144,1.0,95.0069677072169
BNDL_1DCYLL,37,31820.05,93,1.0,89.1860635039857
BNDL_1DDR2Z,23,69827.25,126,3.0,95.84975779513012
BNDL_1DEPKL,17,95324.28,144,4.0,97.4319239547364
BNDL_1DG3W7,57,46158.46,116,1.0,85.67543197931646
BNDL_1DQHUQ,28,21207.53,175,4.0,76.89499908758822
BNDL_1DV0S7,67,60180.36,145,2.0,83.85685961333564
BNDL_1DYCHP,32,17851.05,152,4.0,72.75230308581287
BNDL_1E3SR5,69,85246.63,123,3.0,90.04418121865932
BNDL_1EHG6C,45,94493.49,5,4.0,99.76188835865835
BNDL_1EHSHG,10,73041.29,135,1.0,98.15173034320725
BNDL_1ENX5A,36,37152.92,61,2.0,94.08929365444223
BNDL_1EO9H7,65,55852.48,181,3.0,78.93558173244948
BNDL_1EQHNC,61,8814.52,16,4.0,88.92736076383059
BNDL_1ETY3B,57,75724.94,61,4.0,95.40838196768462
BNDL_1EZL9T,37,67430.36,90,3.0,95.06157167187006
BNDL_1F06GO,22,97166.57,3,1.0,99.93207540412304
BNDL_1F7NV1,24,96381.76,156,1.0,96.11544757016264
BNDL_1FDO2K,11,41951.91,198,3.0,94.80834126503417
BNDL_1FHCY6,31,7175.21,144,4.0,37.785793029054204
BNDL_1FJFV4,58,15025.06,56,4.0,78.3827818324852
BNDL_1FJXUX,30,35690.43,133,1.0,88.82053256293074
BNDL_1FJYKK,17,28425.4,188,4.0,88.75653464858894
BNDL_1FVOK0,31,58132.44,14,1.0,99.25342889443485
BNDL_1FWGJK,10,54068.85,40,4.0,99.2602025010704
BNDL_1FX6D6,58,78129.67,174,1.0,87.08301212586717
BNDL_1G5KXT,46,92679.08,29,2.0,98.56062446886611
BNDL_1GEQ0V,40,2014.12,150,1.0,-197.89684825134552
BNDL_1GFB5M,16,98331.94,88,2.0,98.56811530414228
BNDL_1GFPIW,18,56891.74,143,2.0,95.47561737433237
BNDL_1GMHFF,56,51997.03,70,2.0,92.46110787481516
BNDL_1GVI7L,58,19720.48,25,3.0,92.64723779542892
BNDL_1GWHK7,14,50891.55,199,4.0,94.52561378067675
BNDL_1GX6WN,25,59246.8,33,3.0,98.60751973102346
BNDL_1GZ1O3,20,87276.56,150,3.0,96.56265095691214
BNDL_1H74IL,11,11743.02,159,2.0,85.10604597454487
BNDL_1HU2HS,58,19768.35,51,4.0,85.03668743218327
BNDL_1HUYBU,26,71353.7,41,2.0,98.50603402486486
BNDL_1HWN42,56,4283.88,95,1.0,-24.18648514897709
BNDL_1HZ4TG,38,84479.94,85,3.0,96.17660713300697
BNDL_1I07R5,42,99868.86,107,3.0,95.50009882960514
BNDL_1I7RSO,67,84128.13,52,4.0,95.85869791709383
BNDL_1IBBH3,25,91170.22,119,1.0,96.73687307105324
BNDL_1IDGCI,53,68070.05,112,3.0,91.2795715590043
BNDL_1IK7I5,17,19298.47,135,3.0,88.10786554581787
BNDL_1IN1IO,66,26664.32,193,1.0,52.22829609005593
BNDL_1IOLH9,13,79548.0,125,4.0,97.95720822647961
BNDL_1IP5P6,53,47327.23,4,1.0,99.5520549163769
BNDL_1IT73C,15,16460.37,136,3.0,87.60659693554884
BNDL_1IUYOK,44,67235.58,32,1.0,97.90587067145104
BNDL_1IYNKC,18,46376.36,104,1.0,95.96346069419852
BNDL_1J2AJS,34,15276.03,112,1.0,75.07205733426812
BNDL_1J2ELJ,14,2497.74,132,1.0,26.01311585673448
