Customer_ID,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund,Subscription_Tier,Subscription_Length,CLTV
CUST_0G5WTR,36245.75,68,3.0,Standard,31.0,1159864.0
CUST_0G5YJH,53222.79,53,1.0,Premium,3.0,212891.16
CUST_0G8SCS,75336.53,62,3.0,Premium,28.0,2184759.37
CUST_0GC4L7,10820.6,192,3.0,Standard,16.0,183950.2
CUST_0GESEG,43735.76,15,3.0,Premium,7.0,349886.08
CUST_0GH2QG,9150.79,37,4.0,Basic,21.0,201317.38
CUST_0GH40Y,71472.47,75,3.0,Premium,8.0,643252.23
CUST_0GLE52,79149.86,79,2.0,Basic,32.0,2611945.38
CUST_0GPSNR,92679.08,29,2.0,Premium,34.0,3243767.8000000003
CUST_0GQC1M,38505.63,199,2.0,Premium,20.0,808618.23
CUST_0GT5TX,5901.17,9,4.0,Basic,9.0,59011.7
CUST_0GXW6D,90801.68,136,1.0,Basic,19.0,1816033.5999999999
CUST_0H0IHY,83016.23,133,1.0,Premium,11.0,996194.76
CUST_0H7P3P,80809.94,103,1.0,Premium,28.0,2343488.2600000002
CUST_0H8YGU,72365.11,184,2.0,Premium,13.0,1013111.54
CUST_0H920T,50563.13,142,2.0,Standard,13.0,707883.82
CUST_0HCDOB,34709.97,162,3.0,Premium,26.0,937169.1900000001
CUST_0HF433,44520.23,7,2.0,Basic,31.0,1424647.36
CUST_0HIQMX,89861.79,98,2.0,Premium,11.0,1078341.48
CUST_0HJH0Q,27068.93,45,4.0,Standard,19.0,541378.6
CUST_0HQ4YH,57582.12,130,1.0,Premium,18.0,1094060.28
CUST_0HRGMM,69230.23,37,2.0,Standard,26.0,1869216.21
CUST_0HRVLE,67391.3,55,4.0,Basic,11.0,808695.6000000001
CUST_0HSG1P,24671.62,151,4.0,Standard,29.0,740148.6
CUST_0HWZP2,66963.92,51,2.0,Basic,3.0,267855.68
CUST_0I24Q6,75861.16,157,2.0,Basic,33.0,2579279.44
CUST_0I6QBC,63570.59,8,1.0,Basic,21.0,1398552.98
CUST_0I6RKW,93285.12,121,3.0,Premium,6.0,652995.84
CUST_0I734U,20983.15,105,1.0,Standard,25.0,545561.9
CUST_0I89GC,62153.02,195,3.0,Premium,3.0,248612.08
CUST_0IICR1,40906.43,19,2.0,Basic,35.0,1472631.48
CUST_0INZUC,58094.53,116,1.0,Basic,4.0,290472.65
CUST_0IP2YR,89367.06,134,2.0,Premium,25.0,2323543.56
CUST_0IV5F2,34873.53,171,2.0,Basic,17.0,627723.54
CUST_0IVC8A,77939.55,20,1.0,Standard,8.0,701455.9500000001
CUST_0IX2GZ,48062.78,196,4.0,Basic,14.0,720941.7
CUST_0J3F8S,9518.07,123,2.0,Premium,20.0,199879.47
CUST_0J4C26,9397.42,17,3.0,Standard,22.0,216140.66
CUST_0J4FED,45706.41,174,2.0,Standard,3.0,182825.64
CUST_0JFUTH,74174.05,154,4.0,Standard,25.0,1928525.3
CUST_0JLJNO,35114.73,79,3.0,Basic,24.0,877868.2500000001
CUST_0JQA17,69192.03,145,3.0,Basic,26.0,1868184.81
CUST_0K47ET,4643.45,103,2.0,Standard,15.0,74295.2
CUST_0K4G8O,33466.9,57,3.0,Standard,17.0,602404.2000000001
CUST_0K4HLM,18118.29,192,4.0,Standard,8.0,163064.61000000002
CUST_0K88KY,82313.65,59,2.0,Premium,28.0,2387095.8499999996
CUST_0KAIJA,82110.73,3,1.0,Basic,18.0,1560103.8699999999
CUST_0KAT1W,36876.12,17,2.0,Premium,32.0,1216911.9600000002
CUST_0KBLBX,35110.03,83,1.0,Premium,30.0,1088410.93
CUST_0KCX8S,11114.17,171,4.0,Premium,22.0,255625.91
CUST_0KG8K6,31593.52,70,4.0,Standard,28.0,916212.08
CUST_0KS07C,66104.88,115,1.0,Standard,1.0,132209.76
CUST_0KTIHW,5479.39,173,3.0,Premium,12.0,71232.07
CUST_0L0ASW,93787.93,59,1.0,Basic,35.0,3376365.4799999995
CUST_0L0Q3P,25187.6,183,1.0,Premium,17.0,453376.8
CUST_0L3CWP,83638.72,173,4.0,Basic,32.0,2760077.7600000002
CUST_0L84XM,46248.6,166,2.0,Standard,22.0,1063717.8
CUST_0L9226,16925.88,131,3.0,Standard,26.0,456998.76
CUST_0L9RXX,42369.17,104,1.0,Premium,14.0,635537.5499999999
CUST_0LG9QK,94334.02,97,4.0,Basic,14.0,1415010.3
CUST_0LK9W7,75521.86,18,2.0,Basic,8.0,679696.74
CUST_0LM02U,92789.81,193,2.0,Basic,3.0,371159.24
CUST_0LP6Y8,99980.64,150,2.0,Basic,17.0,1799651.52
CUST_0LV5O9,87486.32,170,4.0,Standard,27.0,2449616.96
CUST_0M1TBJ,68366.04,31,2.0,Basic,30.0,2119347.2399999998
CUST_0M4KIR,30625.67,12,4.0,Basic,15.0,490010.72
CUST_0M97X9,8909.74,132,2.0,Basic,12.0,115826.62
CUST_0MJKEQ,40141.08,74,4.0,Premium,1.0,80282.16
CUST_0MK066,60037.03,191,1.0,Premium,10.0,660407.33
CUST_0MNRJU,7134.47,32,2.0,Standard,2.0,21403.41
CUST_0MOKDR,18774.5,45,3.0,Premium,28.0,544460.5
CUST_0MORPP,18885.73,90,2.0,Basic,10.0,207743.03
CUST_0MT6UQ,44728.14,120,1.0,Basic,4.0,223640.7
CUST_0MUUYG,26524.05,121,4.0,Basic,6.0,185668.35
CUST_0MX572,63670.12,173,3.0,Premium,21.0,1400742.6400000001
CUST_0MZA0T,89494.32,184,3.0,Premium,3.0,357977.28
CUST_0N4V4F,90387.25,56,2.0,Premium,14.0,1355808.75
CUST_0N5606,53239.51,139,4.0,Basic,4.0,266197.55
CUST_0NA56X,41774.29,35,1.0,Standard,13.0,584840.06
CUST_0NC0HL,86792.56,198,1.0,Standard,29.0,2603776.8
CUST_0NCW8M,15142.53,22,1.0,Premium,19.0,302850.60000000003
CUST_0NE21V,97988.74,15,2.0,Basic,21.0,2155752.2800000003
CUST_0NJ67W,58292.59,46,4.0,Basic,27.0,1632192.52
CUST_0NKA3U,91989.01,31,3.0,Basic,25.0,2391714.26
CUST_0NLRJ1,18802.62,129,4.0,Premium,33.0,639289.08
CUST_0NPA83,42952.91,100,2.0,Basic,25.0,1116775.6600000001
CUST_0NPYUL,32534.87,148,3.0,Premium,6.0,227744.09
CUST_0NQQ9I,63928.43,180,1.0,Premium,33.0,2173566.62
CUST_0NTL4B,6707.58,180,4.0,Standard,32.0,221350.13999999998
CUST_0NW9WT,39048.3,170,3.0,Basic,20.0,820014.3
CUST_0NWNYS,7801.36,57,3.0,Standard,1.0,15602.72
CUST_0O02K6,55259.54,92,3.0,Standard,23.0,1326228.96
CUST_0O0WHM,47464.36,119,1.0,Premium,23.0,1139144.6400000001
CUST_0O5RER,81490.44,171,4.0,Basic,23.0,1955770.56
CUST_0O5RTC,25975.38,197,1.0,Standard,31.0,831212.16
CUST_0O7YE6,10348.15,69,4.0,Standard,27.0,289748.2
CUST_0O94JD,98582.6,63,1.0,Premium,12.0,1281573.8
CUST_0OEOSR,26719.72,55,1.0,Basic,27.0,748152.16
CUST_0OIH35,28863.95,139,1.0,Premium,32.0,952510.35
CUST_0OO52N,60138.39,2,1.0,Standard,12.0,781799.07
CUST_0OXUL3,40675.1,110,1.0,Basic,4.0,203375.5
CUST_0P3O91,56665.3,44,1.0,Premium,28.0,1643293.7000000002
CUST_0P3RWJ,31978.23,11,2.0,Basic,8.0,287804.07
CUST_0P4370,72070.33,140,1.0,Premium,14.0,1081054.95
CUST_0PCRJ3,19181.92,131,1.0,Standard,29.0,575457.6
CUST_0PHTNW,67738.86,110,4.0,Premium,20.0,1422516.06
CUST_0PIHY0,9543.5,175,3.0,Premium,14.0,143152.5
CUST_0PIL6S,78586.68,73,4.0,Standard,25.0,2043253.6799999997
CUST_0PKYXG,31418.44,144,1.0,Premium,27.0,879716.32
CUST_0PNGD0,95832.06,25,1.0,Premium,34.0,3354122.1
CUST_0POVWO,42045.24,45,2.0,Premium,29.0,1261357.2
CUST_0PRN2D,38551.59,12,4.0,Basic,6.0,269861.13
CUST_0PSJ4B,48166.88,162,4.0,Basic,34.0,1685840.7999999998
CUST_0PZ8FT,87765.86,11,2.0,Premium,29.0,2632975.8
CUST_0Q09T7,91991.27,147,4.0,Standard,21.0,2023807.9400000002
CUST_0Q80T9,66934.69,146,1.0,Standard,5.0,401608.14
CUST_0QCV0M,99345.76,93,2.0,Premium,9.0,993457.6
CUST_0QDY7B,11514.61,144,4.0,Standard,28.0,333923.69
CUST_0QH0PZ,51536.22,83,2.0,Basic,35.0,1855303.92
CUST_0QO1ZU,32089.91,29,2.0,Standard,10.0,352989.01
CUST_0QUDQI,23531.7,43,4.0,Basic,31.0,753014.4
CUST_0R163N,33196.54,173,2.0,Basic,10.0,365161.94
CUST_0R4PJM,49276.36,76,2.0,Standard,11.0,591316.3200000001
CUST_0R55DR,9373.0,163,2.0,Premium,35.0,337428.0
CUST_0R6ETP,41526.92,121,4.0,Standard,9.0,415269.19999999995
CUST_0RED8T,14843.89,41,2.0,Premium,18.0,282033.91
CUST_0RK1AU,40141.03,57,2.0,Basic,10.0,441551.32999999996
CUST_0RNHFE,84313.15,126,4.0,Premium,11.0,1011757.7999999999
CUST_0RQBBS,52316.95,96,1.0,Premium,9.0,523169.5
CUST_0RSMS8,47848.77,125,1.0,Basic,15.0,765580.32
CUST_0RWHIU,83669.8,60,4.0,Basic,7.0,669358.4
CUST_0S38W9,13967.35,120,4.0,Premium,12.0,181575.55000000002
CUST_0SAN1V,25855.41,179,3.0,Standard,29.0,775662.3
CUST_0SBA41,84977.57,192,1.0,Basic,21.0,1869506.54
CUST_0SDVX3,96597.64,170,4.0,Basic,7.0,772781.12
CUST_0SWOVX,21307.83,177,2.0,Basic,12.0,277001.79000000004
CUST_0T053D,17476.11,171,1.0,Premium,25.0,454378.86
CUST_0T87OW,31469.49,192,4.0,Standard,33.0,1069962.6600000001
CUST_0TIGX7,94673.61,87,1.0,Premium,2.0,284020.83
CUST_0TMW5F,52518.79,81,3.0,Premium,8.0,472669.11
CUST_0TOY6Q,9601.83,18,3.0,Standard,21.0,211240.26
CUST_0TRQ0U,94965.5,17,2.0,Standard,21.0,2089241.0
CUST_0TV9PL,52171.71,104,2.0,Premium,17.0,939090.78
CUST_0TYADX,16436.32,154,3.0,Basic,34.0,575271.2
CUST_0U1VU4,88618.52,137,4.0,Basic,27.0,2481318.56
CUST_0U4HLI,32567.7,71,2.0,Basic,20.0,683921.7000000001
CUST_0UE5CA,35166.56,171,3.0,Premium,23.0,843997.44
CUST_0UGWYS,95987.2,160,1.0,Basic,10.0,1055859.2
CUST_0UL1HV,47309.3,138,4.0,Standard,8.0,425783.7
CUST_0V3JZS,90129.79,151,4.0,Premium,12.0,1171687.27
CUST_0V7QZO,65229.09,113,3.0,Standard,13.0,913207.26
CUST_0VJ9AL,48733.53,176,3.0,Premium,2.0,146200.59
CUST_0VM50S,39859.25,172,2.0,Basic,2.0,119577.75
CUST_0VRO12,59250.06,23,3.0,Premium,33.0,2014502.04
CUST_0VTUGK,77443.65,149,1.0,Basic,8.0,696992.85
CUST_0VUQ7S,11733.33,158,1.0,Basic,13.0,164266.62
CUST_0W26R9,97085.41,14,2.0,Premium,11.0,1165024.92
CUST_0W2YO3,61079.1,141,4.0,Standard,6.0,427553.7
CUST_0W3ED6,35858.68,132,4.0,Basic,14.0,537880.2
CUST_0WAZT3,1911.79,110,2.0,Basic,1.0,3823.58
CUST_0WFP4A,64944.3,133,3.0,Standard,14.0,974164.5
CUST_0WO16W,36226.29,157,2.0,Standard,34.0,1267920.1500000001
CUST_0WPTHG,55544.15,140,2.0,Basic,7.0,444353.2
CUST_0WVDWI,40516.74,172,3.0,Basic,7.0,324133.92
CUST_0WVIR3,31098.98,54,4.0,Premium,7.0,248791.84
CUST_0X5031,36786.03,100,1.0,Standard,27.0,1030008.84
CUST_0X5MIZ,44007.54,81,1.0,Basic,15.0,704120.64
CUST_0XAPHM,86116.2,173,3.0,Standard,9.0,861162.0
CUST_0XJKWH,74362.65,89,3.0,Basic,28.0,2156516.8499999996
CUST_0XQQ8F,59930.94,118,3.0,Standard,13.0,839033.16
CUST_0XU7PK,47247.48,40,4.0,Premium,10.0,519722.28
CUST_0Y4LBT,43157.85,103,1.0,Basic,17.0,776841.2999999999
CUST_0Y7P12,87737.62,99,2.0,Basic,31.0,2807603.84
CUST_0Y86QF,60351.88,61,2.0,Standard,29.0,1810556.4
CUST_0YAOMR,30039.16,31,3.0,Premium,10.0,330430.76
CUST_0YEE6O,67675.04,129,3.0,Premium,5.0,406050.24
CUST_0YNZI4,42163.68,185,4.0,Basic,28.0,1222746.72
CUST_0YZW8L,14703.06,181,2.0,Standard,27.0,411685.68
CUST_0Z3746,92800.17,195,1.0,Premium,31.0,2969605.44
CUST_0Z8A4D,33336.08,85,2.0,Standard,14.0,500041.2
CUST_0ZT6OS,89409.02,29,3.0,Basic,3.0,357636.08
CUST_104F3N,49947.93,108,4.0,Basic,4.0,249739.65
CUST_105NB0,91496.88,100,1.0,Premium,4.0,457484.4
CUST_10CRMB,25694.57,193,2.0,Premium,14.0,385418.55
CUST_10F6D3,23158.38,12,3.0,Standard,20.0,486325.98000000004
CUST_10S4XE,65710.27,6,2.0,Basic,24.0,1642756.75
CUST_10WHN7,5940.03,80,1.0,Basic,7.0,47520.24
CUST_10WV23,98890.38,151,2.0,Basic,29.0,2966711.4000000004
CUST_10Z967,38202.69,42,1.0,Standard,4.0,191013.45
CUST_114DC0,29201.09,32,1.0,Basic,7.0,233608.72
CUST_11HHA8,97345.89,199,4.0,Premium,24.0,2433647.25
CUST_11MNTD,33674.14,174,2.0,Premium,1.0,67348.28
CUST_11NOOA,86802.3,190,3.0,Basic,7.0,694418.4
CUST_11S2PR,23673.95,198,3.0,Basic,3.0,94695.8
CUST_11ZF04,88633.77,110,3.0,Standard,14.0,1329506.55
CUST_11ZJ6Z,53474.27,42,4.0,Standard,29.0,1604228.0999999999
CUST_129BTQ,24801.98,199,4.0,Basic,5.0,148811.88
CUST_12FO8I,62999.28,123,2.0,Basic,2.0,188997.84
CUST_12JUWV,35781.12,26,3.0,Premium,9.0,357811.2
CUST_131SVH,33860.4,169,1.0,Premium,18.0,643347.6
CUST_1341EG,66170.81,67,2.0,Basic,5.0,397024.86
CUST_136FJL,70367.05,131,2.0,Standard,33.0,2392479.7
CUST_13CJHL,44570.07,72,1.0,Standard,7.0,356560.56
CUST_13UEOX,68337.41,107,4.0,Standard,29.0,2050122.3
CUST_145DFV,29142.66,52,4.0,Basic,34.0,1019993.1
CUST_14HZLT,84284.2,72,4.0,Premium,28.0,2444241.8
CUST_14I7G1,40911.39,73,2.0,Basic,9.0,409113.9
CUST_14L0BX,53220.84,91,2.0,Standard,6.0,372545.88
CUST_14LXQ7,27625.98,60,3.0,Premium,33.0,939283.32
CUST_14TM74,15762.74,128,4.0,Standard,1.0,31525.48
CUST_14XC5S,85767.1,89,3.0,Standard,30.0,2658780.1
CUST_15669Y,39531.43,159,1.0,Premium,19.0,790628.6
CUST_15BT09,22448.61,190,3.0,Standard,24.0,561215.25
CUST_15E44Q,93046.27,197,1.0,Premium,28.0,2698341.83
CUST_15NI4J,83620.7,20,4.0,Standard,15.0,1337931.2
CUST_163OIK,76068.11,194,2.0,Basic,23.0,1825634.6400000001
CUST_169JNQ,87492.4,169,3.0,Basic,14.0,1312386.0
CUST_16AO1H,87444.93,83,3.0,Standard,28.0,2535902.9699999997
CUST_16H4ZV,81222.42,70,2.0,Premium,7.0,649779.36
CUST_16H6D6,31048.46,109,3.0,Standard,21.0,683066.12
CUST_16IIJM,34348.18,111,4.0,Basic,19.0,686963.6
CUST_16R0L1,80533.23,175,3.0,Basic,5.0,483199.38
CUST_16ULOD,32149.71,82,2.0,Standard,8.0,289347.39
CUST_16Y1H8,81235.45,58,1.0,Basic,5.0,487412.69999999995
CUST_16ZUNV,57238.13,158,1.0,Premium,17.0,1030286.34
CUST_171KS1,66798.66,51,4.0,Basic,19.0,1335973.2000000002
CUST_172TYR,70056.36,65,1.0,Basic,5.0,420338.16000000003
CUST_173CX7,10525.81,143,2.0,Basic,17.0,189464.58
CUST_179SL6,35088.56,51,3.0,Standard,34.0,1228099.5999999999
CUST_17D8K5,25655.98,181,1.0,Basic,24.0,641399.5
CUST_17FMXS,63965.28,104,4.0,Premium,2.0,191895.84
CUST_17G59N,95699.32,164,3.0,Basic,20.0,2009685.7200000002
CUST_17NGBN,28205.46,75,3.0,Standard,20.0,592314.66
CUST_17NXVF,63411.17,188,4.0,Standard,23.0,1521868.08
CUST_17SHV5,50970.35,142,3.0,Premium,9.0,509703.5
CUST_180BMV,53096.26,172,3.0,Standard,26.0,1433599.02
CUST_181OO6,64648.41,28,2.0,Premium,10.0,711132.51
CUST_182GQ2,65923.32,124,3.0,Premium,11.0,791079.8400000001
CUST_187L2K,93596.97,108,4.0,Standard,32.0,3088700.0100000002
CUST_189682,25278.24,84,1.0,Standard,10.0,278060.64
CUST_18TG2C,85850.9,161,2.0,Standard,5.0,515105.39999999997
CUST_193DLZ,3178.9,13,4.0,Premium,27.0,89009.2
CUST_197LQT,28895.38,1,2.0,Premium,30.0,895756.78
CUST_198JS9,59146.61,75,1.0,Premium,19.0,1182932.2
CUST_19A12T,68952.9,139,3.0,Premium,24.0,1723822.4999999998
CUST_19L1UP,33724.94,160,1.0,Standard,34.0,1180372.9000000001
CUST_19NYSD,29395.54,103,3.0,Standard,23.0,705492.96
CUST_19VT04,17274.7,79,2.0,Premium,3.0,69098.8
CUST_1A1VX1,19775.2,188,1.0,Standard,1.0,39550.4
CUST_1A896E,4809.32,29,1.0,Standard,10.0,52902.52
CUST_1AF25M,51329.47,52,1.0,Premium,35.0,1847860.92
CUST_1AH9QC,10680.68,75,2.0,Basic,9.0,106806.8
CUST_1ALD9L,97400.77,129,2.0,Basic,9.0,974007.7000000001
CUST_1ARP1W,50470.96,13,1.0,Premium,2.0,151412.88
CUST_1AUTDC,59981.47,114,1.0,Premium,25.0,1559518.22
CUST_1B9PHS,29372.7,2,1.0,Basic,15.0,469963.2
CUST_1BI3Z2,58908.23,48,1.0,Standard,35.0,2120696.2800000003
CUST_1BJMZ4,86511.97,90,1.0,Basic,8.0,778607.73
CUST_1BPLTP,97751.28,114,3.0,Basic,28.0,2834787.12
CUST_1BPZBB,12089.39,173,3.0,Standard,7.0,96715.12
CUST_1BUW0C,28360.45,199,1.0,Premium,16.0,482127.65
CUST_1CHC19,91471.74,49,4.0,Basic,33.0,3110039.16
CUST_1CK0SW,79580.7,97,2.0,Basic,6.0,557064.9
CUST_1CQGET,53410.56,156,2.0,Premium,28.0,1548906.24
CUST_1CRMNT,49452.52,70,2.0,Standard,11.0,593430.24
CUST_1DCOGH,4235.47,129,3.0,Premium,2.0,12706.41
CUST_1DD86P,71975.23,145,2.0,Premium,9.0,719752.2999999999
CUST_1DHWP6,53912.84,106,4.0,Basic,23.0,1293908.16
CUST_1DJROX,71167.72,4,2.0,Standard,4.0,355838.6
CUST_1DMPY2,47704.13,38,4.0,Premium,10.0,524745.4299999999
CUST_1DSUW9,40783.32,132,2.0,Basic,5.0,244699.91999999998
CUST_1DTFOW,96589.84,145,1.0,Standard,16.0,1642027.28
CUST_1E1B9M,25550.07,182,3.0,Basic,22.0,587651.61
CUST_1E1WPG,19478.46,95,4.0,Standard,34.0,681746.1
CUST_1E6Q8N,13791.05,130,2.0,Basic,22.0,317194.14999999997
