Month,Discount_Level,Conversions,Revenue_Generated
2023-07,48,841,43185.53
2023-07,49,554,78878.18
2023-07,52,1441,108384.51999999999
2023-07,53,115,99310.42
2023-07,57,918,77026.73
2023-07,59,851,72847.57
2023-07,61,670,67511.94
2023-07,65,190,7200.15
2023-07,66,221,42726.51
2023-08,13,765,20070.77
2023-08,16,194,79458.61
2023-08,20,661,77138.87
2023-08,28,882,51864.35
2023-08,29,134,86073.71
2023-08,30,420,28369.52
2023-08,32,1095,96162.77
2023-08,35,825,47770.61
2023-08,37,1362,81491.95
2023-08,38,656,73375.85
2023-08,40,515,92907.98
2023-08,41,375,55133.42
2023-08,44,173,52119.82
2023-08,45,288,49834.84
2023-08,46,613,37988.43
2023-08,48,668,91661.32
2023-08,49,566,68190.59
2023-08,51,1545,50568.69
2023-08,52,599,8382.13
2023-08,53,592,47327.23
2023-08,55,1011,107972.48999999999
2023-08,56,1201,69174.88
2023-08,58,431,82867.69
2023-08,60,846,2645.76
2023-08,61,1283,114697.28
2023-08,63,995,38469.13
2023-08,66,890,4036.5
2023-08,68,1408,151389.84
2023-09,15,31,86830.02
2023-09,16,827,28795.25
2023-09,17,309,113979.98
2023-09,22,631,43062.46
2023-09,24,137,44941.43
2023-09,25,252,18912.33
2023-09,27,378,36559.3
2023-09,31,810,65661.52
2023-09,33,782,78151.06
2023-09,35,604,62035.75
2023-09,37,710,5380.76
2023-09,38,909,4096.91
2023-09,41,743,2727.69
2023-09,42,1092,47491.42
2023-09,47,410,66618.56
2023-09,48,758,87423.41
2023-09,49,579,61732.53
2023-09,51,863,148848.93
2023-09,54,1220,136523.5
2023-09,58,830,37634.19
2023-09,59,454,3178.9
2023-09,60,693,25168.07
2023-09,61,424,181878.64
2023-09,64,407,77911.88
2023-09,66,509,4618.44
2023-09,67,62,47070.98
2023-09,69,772,39403.2
2023-10,10,312,8361.01
2023-10,12,891,206600.65999999997
2023-10,13,1994,182178.33
2023-10,14,479,70841.75
2023-10,15,535,27319.48
2023-10,23,825,86783.69
2023-10,24,721,97387.52
2023-10,31,868,54968.03
2023-10,38,199,68115.19
2023-10,39,970,46461.35
2023-10,41,380,22801.58
2023-10,42,556,30587.48
2023-10,49,738,59451.09
2023-10,50,266,63474.01
2023-10,51,684,75846.57
2023-10,55,1484,89306.35
2023-10,57,586,85312.31
2023-10,58,103,60051.21
2023-10,59,714,3330.42
2023-10,61,207,109790.35
2023-10,62,752,15855.74
2023-10,63,354,1361.6
2023-10,65,427,88907.44
2023-10,68,850,75292.06
2023-10,69,210,24148.89
2023-11,11,508,98045.3
2023-11,13,747,74224.03
2023-11,14,264,59569.07
2023-11,15,301,52949.54
2023-11,16,554,27358.11
2023-11,19,10,98886.96
2023-11,22,1411,156009.02
2023-11,27,832,97238.79
2023-11,31,447,47309.3
2023-11,34,1476,17863.6
2023-11,36,1319,135832.28
2023-11,38,632,93334.0
2023-11,41,466,58428.37
2023-11,45,516,44294.92
2023-11,46,493,64091.71
2023-11,55,1521,19560.79
2023-11,56,156,26884.7
2023-11,57,481,94851.85
2023-11,67,988,78060.65
2023-11,68,845,30529.65
2023-12,10,971,56903.93
2023-12,12,1581,195741.75
2023-12,20,1353,117647.13
2023-12,21,1216,68548.05
2023-12,28,426,60774.96
2023-12,31,891,74856.08
2023-12,34,1022,56060.09
2023-12,35,225,175443.11
2023-12,41,140,86077.67
2023-12,42,1815,176414.85
2023-12,43,742,15210.11
2023-12,46,505,35088.92
2023-12,47,216,16579.37
2023-12,51,825,27456.55
2023-12,52,626,66384.55
2023-12,61,822,95015.53
2023-12,63,498,95215.97
2023-12,67,389,57874.6
2023-12,68,408,16358.15
2023-12,69,1083,62134.25
2024-01,12,825,23045.47
2024-01,15,63,66573.53
2024-01,18,802,96561.52
2024-01,19,1296,86506.29
2024-01,21,345,47897.68
2024-01,22,60,21555.35
2024-01,24,444,81839.45
2024-01,26,996,121966.3
2024-01,28,767,91451.37
2024-01,29,808,8287.36
2024-01,30,722,39010.45
2024-01,31,27,51274.58
2024-01,32,306,109813.48999999999
2024-01,35,1540,46838.94
2024-01,38,595,40811.92
2024-01,39,327,78562.8
2024-01,43,347,142195.2
2024-01,45,355,13907.28
2024-01,47,307,64011.09
2024-01,50,14,36226.29
2024-01,51,703,42928.79
2024-01,52,969,65255.130000000005
2024-01,53,425,52280.63
2024-01,59,336,49208.18
2024-01,66,357,40909.61
2024-01,67,534,48560.26
2024-01,68,934,121191.52
2024-02,11,635,106924.8
2024-02,12,542,65971.88
2024-02,15,980,37935.07
2024-02,16,122,16648.62
2024-02,19,323,77796.9
2024-02,22,866,66118.89
2024-02,25,844,52724.54
2024-02,26,955,55722.13
2024-02,27,596,23224.24
2024-02,32,458,3602.59
2024-02,48,948,43762.56
2024-02,49,760,43547.15
2024-02,51,949,75470.14
2024-02,56,185,91857.58
2024-02,58,436,53295.51
2024-02,65,909,42554.38
2024-02,67,1139,75237.19
2024-02,69,434,86579.07
2024-03,11,913,65140.69
2024-03,14,908,33234.240000000005
2024-03,18,807,33978.16
2024-03,21,1041,93354.4
2024-03,24,243,70459.26
2024-03,30,907,38213.21
2024-03,32,998,85359.51
2024-03,37,959,94495.52
2024-03,44,980,54230.61
2024-03,48,626,75441.9
2024-03,49,94,71434.84999999999
2024-03,56,1721,131653.45
2024-03,61,1656,137151.84
2024-03,63,861,8980.49
2024-03,65,32,13698.48
2024-03,68,614,24266.45
2024-04,11,720,5985.31
2024-04,17,831,40675.1
2024-04,18,975,88432.24
2024-04,19,936,36702.1
2024-04,24,196,9075.28
2024-04,25,669,76466.62
2024-04,31,802,56667.5
2024-04,32,902,71837.34
2024-04,34,402,36974.31
2024-04,36,913,72301.43
2024-04,38,141,46263.19
2024-04,44,29,54205.71
2024-04,47,270,53156.48
2024-04,48,26,44186.09
2024-04,57,205,95599.56
2024-04,61,196,24602.59
2024-04,63,429,7659.55
2024-04,67,95,74394.0
2024-05,14,698,38968.2
2024-05,15,633,2272.17
2024-05,18,932,123160.65
2024-05,19,387,81302.58
2024-05,20,62,64870.53
2024-05,22,732,57186.98
2024-05,26,243,102452.61
2024-05,29,620,60032.39
2024-05,31,1254,73533.87
2024-05,33,842,84989.06
2024-05,36,832,43390.06
2024-05,39,526,58369.85
2024-05,43,418,15226.73
2024-05,46,97,27348.57
2024-05,50,438,8819.26
2024-05,51,1185,45666.82
2024-05,53,906,27345.37
2024-05,54,461,96657.67
2024-05,56,596,95193.09000000001
2024-05,59,49,22448.61
2024-05,60,963,19721.13
2024-05,66,26,69730.64
2024-05,68,2940,195114.43
2024-06,20,524,85415.81
2024-06,25,1818,158194.41
2024-06,26,264,53613.24
2024-06,28,880,37759.02
2024-06,29,402,109679.54999999999
2024-06,30,1095,106979.69
2024-06,35,456,32708.97
2024-06,43,1573,117975.06
2024-06,44,670,32776.41
2024-06,50,1069,150606.87
2024-06,55,877,99216.65
2024-06,56,185,27599.14
2024-06,57,960,105137.73999999999
2024-06,58,372,91564.58
2024-06,59,1215,132783.93
2024-06,60,462,52804.61
2024-06,61,322,23742.33
2024-06,62,958,55024.6
2024-06,64,49,23618.85
2024-06,65,192,85696.69
2024-06,66,98,86777.9
2024-06,67,731,165117.88
2024-06,68,375,73456.89
2024-07,13,980,59836.19
2024-07,14,519,15581.58
2024-07,16,212,73400.38
2024-07,20,1839,207196.42
2024-07,25,565,5469.16
2024-07,27,942,161952.05
2024-07,29,84,88214.78
2024-07,31,1019,146395.69
2024-07,32,1615,161084.93
2024-07,33,527,82408.0
2024-07,34,610,65989.63
2024-07,35,689,3664.36
2024-07,38,607,2026.73
2024-07,40,676,54021.59
2024-07,43,795,114559.6
2024-07,48,1227,219975.05
2024-07,53,629,104867.28
2024-07,54,766,96058.04
2024-07,55,50,25655.98
2024-07,56,80,28558.99
2024-07,59,15,69895.9
2024-07,60,728,3825.73
2024-07,61,880,105754.38
2024-07,63,258,32961.11
2024-07,66,107,60442.33
2024-08,12,1117,147345.08000000002
2024-08,13,278,86686.77
2024-08,16,897,2761.07
2024-08,18,993,93938.13
2024-08,27,462,38198.52
2024-08,28,1064,146810.46
2024-08,30,1706,85628.20999999999
2024-08,32,675,83611.78
2024-08,38,524,77073.78
2024-08,39,2133,87526.6
2024-08,41,1398,109553.4
2024-08,46,801,79135.83
2024-08,47,361,86198.11
2024-08,48,288,78315.47
2024-08,49,1164,144586.96
2024-08,51,1329,37331.45
2024-08,54,686,17274.7
2024-08,59,412,17231.46
2024-08,60,456,29120.26
2024-08,63,659,72058.44
2024-08,64,230,32550.85
2024-08,67,153,37679.24
2024-08,69,1159,137444.04
2024-09,11,124,58730.85
2024-09,13,626,90145.82
2024-09,16,81,23432.57
2024-09,17,514,5468.46
2024-09,20,1752,42313.45
2024-09,21,186,14585.55
2024-09,24,459,26607.88
2024-09,26,287,4621.29
2024-09,30,975,93361.71
2024-09,31,173,14655.69
2024-09,32,920,37827.06
2024-09,34,2275,125326.29000000001
2024-09,35,250,2208.88
2024-09,37,853,163784.41
2024-09,42,379,83465.85
2024-09,44,1379,24384.46
2024-09,47,965,84583.99
2024-09,48,83,118488.41
2024-09,52,1134,126654.09999999999
2024-09,53,454,10267.73
2024-09,54,417,51371.21
2024-09,55,339,49087.42
2024-09,56,695,16452.78
2024-09,58,743,11149.38
2024-09,66,165,17023.2
2024-10,11,613,95511.43
2024-10,13,783,12843.8
2024-10,17,82,91186.35
2024-10,18,627,95757.35
2024-10,21,1363,141363.89
2024-10,24,639,128502.08
2024-10,27,981,14014.01
2024-10,28,274,68413.87
2024-10,29,1676,104255.89
2024-10,31,44,41265.21
2024-10,36,146,2973.04
2024-10,38,222,75838.03
2024-10,39,991,7025.25
2024-10,43,89,61427.34
2024-10,44,792,1330.59
2024-10,46,383,66170.81
2024-10,48,1847,131197.16999999998
2024-10,49,146,49393.16
2024-10,52,303,9302.43
2024-10,53,702,55318.11
2024-10,54,593,64557.2
2024-10,55,242,89047.1
2024-10,58,948,91360.42
2024-10,59,43,10295.02
2024-10,60,520,62323.97
2024-10,65,441,52855.75
2024-10,66,2348,170796.36
2024-10,67,968,88926.06
2024-10,69,563,16133.14
2024-11,10,552,42702.47
2024-11,13,41,81027.85
2024-11,15,895,87029.47
2024-11,16,1175,135438.41999999998
2024-11,17,647,16649.6
2024-11,20,969,2813.32
2024-11,21,999,33061.98
2024-11,22,597,42448.79
2024-11,23,390,59158.97
2024-11,25,925,22409.39
2024-11,28,259,61312.56
2024-11,29,151,47075.58
2024-11,30,621,8362.62
2024-11,33,727,85103.2
2024-11,34,753,46234.55
2024-11,35,509,94144.93
2024-11,37,906,39455.43
2024-11,38,1400,114010.62
2024-11,40,648,72727.98
2024-11,42,637,77204.3
2024-11,43,904,11492.16
2024-11,44,98,10802.12
2024-11,45,280,16497.89
2024-11,49,1261,125143.58
2024-11,51,371,54321.350000000006
2024-11,53,100,40144.31
2024-11,55,1243,64409.53999999999
2024-11,57,210,10066.59
2024-11,58,772,59191.37
2024-11,59,82,54666.48
2024-11,60,45,7511.45
2024-11,61,817,93064.18
2024-11,62,240,81436.37
2024-11,64,906,70202.43
2024-11,65,926,11733.07
2024-11,67,667,25019.2
2024-11,68,989,18839.95
2024-12,10,1745,102655.70999999999
2024-12,15,63,37217.72
2024-12,16,1128,123107.64
2024-12,20,1495,70958.27
2024-12,24,421,18435.97
2024-12,28,149,50803.02
2024-12,30,1336,160848.31
2024-12,31,186,30059.27
2024-12,32,465,47247.48
2024-12,34,625,76052.83
2024-12,35,388,98532.99
2024-12,40,37,18579.89
2024-12,41,345,10657.02
2024-12,45,241,85543.54
2024-12,46,268,69075.67
2024-12,49,183,19109.56
2024-12,50,769,10070.21
2024-12,52,402,14906.23
2024-12,54,979,20563.76
2024-12,56,439,29515.56
2024-12,57,775,8719.59
2024-12,59,151,38410.76
2024-12,60,1048,107833.51
2024-12,62,953,45460.25
2024-12,65,768,19864.43
2024-12,66,264,30021.92
2025-01,12,55,57705.42
2025-01,14,399,29792.06
2025-01,18,697,97339.76
2025-01,22,612,37785.42
2025-01,24,900,59250.06
2025-01,26,326,32430.62
2025-01,28,272,57864.69
2025-01,30,1991,230243.03
2025-01,31,866,19570.78
2025-01,32,735,68823.06
2025-01,34,479,42067.62
2025-01,40,478,117119.93000000001
2025-01,41,42,89465.78
2025-01,47,325,35484.36
2025-01,53,909,85246.3
2025-01,57,441,56934.08
2025-01,62,761,76155.49
2025-01,65,901,45442.2
2025-01,68,578,32687.69
2025-01,69,276,55019.59
2025-02,10,176,28377.38
2025-02,11,817,70499.26
2025-02,15,680,95430.74
2025-02,18,805,14178.76
2025-02,22,510,54111.06
2025-02,24,579,98621.78
2025-02,25,654,9108.44
2025-02,28,538,63811.8
2025-02,32,928,19498.8
2025-02,33,227,77424.61
2025-02,35,323,63178.82
2025-02,36,1270,66938.31
2025-02,40,779,93172.12
2025-02,41,853,58029.28
2025-02,45,362,84952.12
2025-02,46,921,130257.13
2025-02,47,750,5405.74
2025-02,48,427,48160.12
2025-02,53,2138,311634.91
2025-02,56,1163,134317.14
2025-02,57,2283,183192.33000000002
2025-02,58,404,58832.78
2025-02,59,1438,145882.4
2025-02,64,880,60631.4
2025-03,10,604,22439.47
2025-03,12,628,61768.88
2025-03,15,1439,156535.54
2025-03,17,176,42047.88
2025-03,20,377,10469.77
2025-03,22,671,49495.98
2025-03,30,90,14133.97
2025-03,31,741,86677.66
2025-03,36,959,144655.94
2025-03,37,374,2639.9
2025-03,40,927,159034.96
2025-03,41,725,72762.16
2025-03,50,781,99465.85
2025-03,55,613,10029.9
2025-03,58,447,41127.44
2025-03,60,97,70489.43
2025-03,62,756,41599.97
2025-03,63,1255,146596.16
2025-03,65,664,76828.5
2025-03,67,1098,257539.51
2025-04,13,762,34036.54
2025-04,14,189,72821.1
2025-04,20,662,64148.14
2025-04,29,884,74481.54
2025-04,33,1463,84882.17000000001
2025-04,36,623,96170.83
2025-04,37,57,76429.01
2025-04,38,708,56706.83
2025-04,43,686,120115.56
2025-04,46,130,78986.97
2025-04,51,257,83689.05
2025-04,52,1093,115525.3
2025-04,53,433,88119.65
2025-04,55,272,80790.13
2025-04,57,308,36313.62
2025-04,58,928,19720.48
2025-04,60,791,66443.06
2025-04,64,324,65510.18
2025-04,66,1103,89658.72
2025-04,67,980,38938.2
2025-04,68,892,25278.24
2025-05,10,448,47279.05
2025-05,11,619,68664.75
2025-05,15,722,51783.93
2025-05,19,824,34142.03
2025-05,20,79,21043.62
2025-05,21,1336,59071.08
2025-05,22,789,97166.57
2025-05,23,181,65309.79
2025-05,24,796,47916.22
2025-05,26,103,79886.91
2025-05,28,510,30866.17
2025-05,29,1271,161473.65000000002
2025-05,30,836,46935.58
2025-05,31,20,22663.53
2025-05,43,953,143587.49
2025-05,47,865,70489.28
2025-05,48,807,63820.47
2025-05,49,552,43702.88
2025-05,51,634,129608.33
2025-05,52,895,21283.52
2025-05,54,170,93787.93
2025-05,55,482,52004.3
2025-05,56,777,67158.64
2025-05,58,908,117445.32
2025-05,61,379,85169.95
2025-05,62,843,3455.74
2025-06,12,688,90067.2
2025-06,13,778,25788.7
2025-06,14,619,89833.04
2025-06,15,588,47510.55
2025-06,16,1010,123470.34
2025-06,21,661,42682.28
2025-06,23,517,128320.32999999999
2025-06,24,329,62808.62
2025-06,26,851,31604.83
2025-06,27,596,5498.68
2025-06,32,84,53695.53
2025-06,39,1447,228812.11000000002
2025-06,40,618,116515.9
2025-06,42,816,27878.11
2025-06,43,612,23324.5
2025-06,44,597,118760.74
2025-06,47,555,70919.49
2025-06,50,789,80211.36
2025-06,54,474,121967.83
2025-06,55,438,87017.13
2025-06,58,1275,128503.03
2025-06,59,147,85020.12
2025-06,62,120,99243.41
2025-06,67,549,35195.56
2025-07,10,224,34418.67
2025-07,11,1774,84609.14
2025-07,12,853,52352.81
2025-07,14,201,49816.84
2025-07,15,224,62150.27
2025-07,20,849,45282.23
2025-07,21,945,110358.09
2025-07,23,118,99501.66
2025-07,24,612,13202.39
2025-07,25,250,74086.21
2025-07,26,609,3098.36
2025-07,29,400,34165.64
2025-07,30,188,57676.73
2025-07,31,1093,177205.54
2025-07,33,1025,77588.26
2025-07,35,1174,30927.22
2025-07,36,717,74050.01000000001
2025-07,37,1714,125190.45999999999
2025-07,39,439,61562.35
2025-07,41,110,14843.89
2025-07,42,126,61006.7
2025-07,43,758,72874.29000000001
2025-07,47,922,93785.43
2025-07,53,297,77985.49
2025-07,54,520,32895.57
2025-07,58,629,17414.46
2025-07,60,871,72611.24
2025-07,64,460,104116.53
2025-07,65,512,95763.01
2025-07,66,705,89590.46
2025-08,10,848,10696.09
2025-08,11,18,19458.95
2025-08,12,486,27594.69
2025-08,14,1156,174356.0
2025-08,19,765,76548.47
2025-08,20,73,1284.18
2025-08,22,681,84312.01
2025-08,27,189,17728.01
2025-08,28,666,50932.92
2025-08,29,895,90695.95999999999
2025-08,30,2519,169418.31
2025-08,32,942,96519.19
2025-08,34,773,16847.57
2025-08,39,506,63319.9
2025-08,42,999,92096.29
2025-08,44,751,68800.02
2025-08,48,301,104127.31999999999
2025-08,49,863,87798.13
2025-08,50,493,87933.52
2025-08,51,105,3318.99
2025-08,52,1170,188690.05
2025-08,54,811,86028.53
2025-08,56,130,55927.97
2025-08,60,544,58510.88
2025-08,62,519,92702.37
2025-08,63,412,33107.12
2025-08,66,975,98922.67
2025-08,69,582,97779.06
2025-09,10,803,96196.14
2025-09,11,557,64342.81
2025-09,12,60,22047.15
2025-09,14,25,93685.15
2025-09,16,547,56006.06
2025-09,18,812,1491.76
2025-09,24,856,20587.56
2025-09,27,989,111282.47
2025-09,28,418,15973.59
2025-09,29,270,2764.06
2025-09,30,850,95224.39
2025-09,34,819,10075.52
2025-09,35,568,83778.06
2025-09,36,776,78202.54
2025-09,39,980,38636.18
2025-09,40,791,65774.16
2025-09,41,568,84871.71
2025-09,43,1751,160329.44
2025-09,51,209,48563.28
2025-09,52,404,15415.62
2025-09,53,356,75296.35
2025-09,54,123,87055.74
2025-09,56,418,84768.35
2025-09,58,1204,83095.07
2025-09,62,576,25700.75
2025-09,66,805,14823.12
2025-09,68,762,111679.07
2025-09,69,519,46889.03
2025-10,14,502,62003.15
2025-10,17,58,10047.18
2025-10,20,723,14453.4
2025-10,24,809,57889.01
2025-10,25,76,18993.94
2025-10,29,884,30888.11
2025-10,31,344,20427.54
2025-10,36,265,74348.21
2025-10,40,355,9660.09
2025-10,41,937,127724.37
2025-10,42,206,92972.12
2025-10,43,950,58734.56
2025-10,46,401,51968.32
2025-10,47,432,19893.52
2025-10,50,140,74548.19
2025-10,53,425,67969.48
2025-10,54,413,78451.4
2025-10,55,7,10673.92
2025-10,56,939,59467.619999999995
2025-10,58,642,91880.56
2025-10,60,921,11254.34
2025-10,62,555,89662.71
2025-10,66,1632,97539.07
2025-10,68,393,223430.63
2025-11,10,942,96850.53
2025-11,12,48,28977.5
2025-11,25,104,7502.85
2025-11,26,162,21463.83
2025-11,31,139,35475.29
2025-11,32,714,43778.28
2025-11,33,653,23362.46
2025-11,34,595,73262.9
2025-11,35,397,88168.29000000001
2025-11,37,365,73637.38
2025-11,39,561,32764.32
2025-11,47,1000,79903.04999999999
2025-11,48,720,29753.24
2025-11,51,1011,104084.98000000001
2025-11,54,769,84780.18
2025-11,55,766,43828.57
2025-11,58,1588,113737.76000000001
2025-11,59,878,31469.49
2025-11,61,107,3679.44
2025-11,68,557,40277.78
2025-11,69,525,12357.55
2025-12,13,814,9240.35
2025-12,14,674,32660.68
2025-12,15,399,3862.26
2025-12,17,1421,90851.67
2025-12,21,546,76267.3
2025-12,30,1717,140644.81
2025-12,36,523,78301.03
2025-12,39,978,13894.55
2025-12,40,149,21582.34
2025-12,41,444,88637.64
2025-12,43,736,69673.38
2025-12,45,731,79670.63
2025-12,46,402,98572.06
2025-12,53,1137,75760.28
2025-12,56,1377,247369.15999999997
2025-12,57,927,45076.75
2025-12,58,697,2243.62
2025-12,60,978,99593.49
2025-12,61,709,41176.28
2025-12,63,195,68389.4
2025-12,64,944,137876.86
2025-12,65,517,66040.39
2025-12,68,142,58103.0
2025-12,69,995,8376.77
2026-01,10,537,64076.09
2026-01,11,372,3225.84
2026-01,13,308,13815.75
2026-01,16,710,66600.44
2026-01,17,1859,157404.57
2026-01,18,700,56842.32
2026-01,20,305,4325.73
2026-01,21,807,37565.61
2026-01,22,949,2007.86
2026-01,26,156,32569.87
2026-01,28,977,131627.9
2026-01,29,705,45470.99
2026-01,33,455,1757.89
2026-01,36,754,85205.16
2026-01,37,874,58758.64
2026-01,41,210,45589.91
2026-01,43,587,29881.84
2026-01,45,418,10876.96
2026-01,47,160,71428.53
2026-01,50,488,19788.04
2026-01,55,820,138459.08000000002
2026-01,56,948,32727.86
2026-01,57,718,9304.83
2026-01,58,1197,54228.47
2026-01,65,323,39362.72
2026-01,66,1513,88967.93000000001
2026-01,67,1488,166060.44
2026-02,11,705,13300.29
2026-02,12,939,65138.48
2026-02,14,682,3103.19
2026-02,15,963,99300.92
2026-02,16,683,59209.79
2026-02,18,81,98701.0
2026-02,19,304,18940.17
2026-02,22,1304,59697.83
2026-02,24,1119,59380.36
2026-02,28,1466,83165.51000000001
2026-02,30,203,174200.14
2026-02,32,72,82114.87
2026-02,33,790,6444.61
2026-02,34,24,18741.29
2026-02,35,494,3917.19
2026-02,37,668,39120.66
2026-02,40,741,42719.54
2026-02,43,608,61750.83
2026-02,44,477,49059.82
2026-02,47,838,95261.93
2026-02,52,128,36510.28
2026-02,64,195,23415.31
2026-02,65,608,5920.15
2026-02,67,849,19731.87
2026-03,14,1301,181761.59999999998
2026-03,16,1111,88592.09
2026-03,17,799,13609.56
2026-03,20,325,68772.87
2026-03,25,30,78134.73
2026-03,29,833,15169.96
2026-03,32,12,98608.81
2026-03,35,1009,66696.96
2026-03,36,991,38280.19
2026-03,37,506,21241.19
2026-03,42,593,88734.93
2026-03,44,841,89667.45
2026-03,46,669,73701.65
2026-03,47,358,80310.63
2026-03,48,507,132420.03999999998
2026-03,49,571,19864.05
2026-03,52,518,37302.41
2026-03,56,295,37739.04
2026-03,57,498,65168.45
2026-03,58,667,16006.44
2026-03,63,994,17126.11
2026-03,66,1046,165372.22999999998
2026-03,67,422,98104.18
2026-03,69,575,103983.54999999999
2026-04,10,905,42553.38
2026-04,14,893,44087.8
2026-04,15,2,88778.08
2026-04,16,777,85889.41
2026-04,17,118,8396.96
2026-04,20,267,11182.7
2026-04,26,515,8729.79
2026-04,27,912,92396.59
2026-04,31,1198,127567.08000000002
2026-04,32,123,66005.65
2026-04,37,250,27761.43
2026-04,40,632,99423.18
2026-04,41,748,119458.09
2026-04,44,56,80204.45
2026-04,45,872,71007.62
2026-04,46,517,21659.53
2026-04,50,453,70916.44
2026-04,56,379,77822.03
2026-04,58,919,17437.03
2026-04,59,185,42263.2
2026-04,61,1577,67741.17
2026-04,62,774,64249.68
2026-04,63,33,20072.91
2026-04,66,536,28895.38
2026-04,69,527,19283.08
2026-05,10,1689,129977.68
2026-05,11,907,90143.05
2026-05,12,501,67751.21
2026-05,13,570,41340.11
2026-05,14,631,12917.68
2026-05,17,887,27198.15
2026-05,19,272,36101.84
2026-05,20,366,70268.67
2026-05,22,768,32353.97
2026-05,23,408,48591.47
2026-05,24,151,48049.9
2026-05,26,791,72000.82
2026-05,27,146,79939.33
