Year,Month,Revenue_Generated,Conversions,Clicks,Customer_Satisfaction_Post_Refund,Month_Name
2031,2031-11,1842451.59,19806,94584,2.675675675675676,November
2031,2031-12,1677041.4,18783,97590,2.342857142857143,December
2032,2032-01,1367126.47,11686,76066,1.8,January
2032,2032-02,1588091.3,11304,66821,2.3333333333333335,February
2032,2032-03,1693897.18,15220,74755,2.3666666666666667,March
2032,2032-04,1704961.78,20452,89481,2.5833333333333335,April
2032,2032-05,1394241.21,13439,68175,2.4074074074074074,May
2032,2032-06,1348135.9,11504,45079,2.6666666666666665,June
2032,2032-07,1131560.38,11532,54734,2.4545454545454546,July
2032,2032-08,1292521.99,10907,82804,2.5384615384615383,August
2032,2032-09,1270683.95,19973,56732,2.71875,September
2032,2032-10,1580609.21,13719,84824,2.566666666666667,October
2032,2032-11,1324581.78,11873,67458,2.608695652173913,November
2032,2032-12,1988813.1199999999,20785,90369,2.5853658536585367,December
2033,2033-01,1844257.49,19573,91259,2.5945945945945947,January
2033,2033-02,991655.72,12975,54593,2.7142857142857144,February
2033,2033-03,2146106.55,18800,99800,2.642857142857143,March
2033,2033-04,1884093.82,18929,93337,2.6,April
2033,2033-05,1748356.97,15472,73199,2.5483870967741935,May
2033,2033-06,1410543.84,17663,70872,2.1333333333333333,June
2033,2033-07,1404295.46,15008,69256,2.3333333333333335,July
2033,2033-08,1436224.09,19342,75516,2.6774193548387095,August
2033,2033-09,1237200.76,11227,63031,2.48,September
2033,2033-10,1366610.06,13016,67798,2.5,October
2033,2033-11,1999923.51,19223,112435,2.5675675675675675,November
2033,2033-12,1614379.33,15722,90452,2.4545454545454546,December
2034,2034-01,1310732.55,13566,76029,2.4482758620689653,January
2034,2034-02,1115252.41,10227,51858,2.5833333333333335,February
2034,2034-03,1301673.77,15145,76186,2.2857142857142856,March
2034,2034-04,1357967.87,15036,54507,2.5555555555555554,April
2034,2034-05,1600948.06,17121,76384,2.696969696969697,May
2034,2034-06,1797914.88,15923,91083,2.0588235294117645,June
2034,2034-07,1728986.23,15593,93793,2.58974358974359,July
2034,2034-08,2054647.6400000001,16130,73929,2.303030303030303,August
2034,2034-09,2175546.68,21319,91803,2.45,September
2034,2034-10,1520325.25,16871,87309,2.2903225806451615,October
2034,2034-11,1359393.35,11632,47196,2.0869565217391304,November
2034,2034-12,1336277.4,15991,95412,2.6176470588235294,December
2035,2035-01,1435706.71,13774,55160,2.5416666666666665,January
2035,2035-02,2133546.45,20325,62881,2.515151515151515,February
2035,2035-03,808833.46,9630,56486,2.619047619047619,March
2035,2035-04,2161860.03,18350,97237,2.3095238095238093,April
2035,2035-05,1632455.47,13980,82647,2.40625,May
2035,2035-06,1867401.55,16523,88770,2.5714285714285716,June
2035,2035-07,1714223.1,18434,89959,2.710526315789474,July
2035,2035-08,1533086.5699999998,14614,81926,2.4193548387096775,August
2035,2035-09,1537099.68,15710,81261,2.3823529411764706,September
2035,2035-10,1701552.54,13829,89925,2.5428571428571427,October
2035,2035-11,1118950.0,10002,43385,2.0,November
2035,2035-12,1375324.1400000001,14809,63997,2.7037037037037037,December
2036,2036-01,1814172.93,19766,100993,2.257142857142857,January
2036,2036-02,1768549.52,17622,93989,2.5588235294117645,February
2036,2036-03,1510561.18,12335,53825,2.6538461538461537,March
2036,2036-04,1233269.56,10603,55548,2.5833333333333335,April
2036,2036-05,1947088.77,19324,76627,2.6285714285714286,May
2036,2036-06,1716937.24,17709,72283,2.4838709677419355,June
2036,2036-07,1916646.4,20328,112178,2.526315789473684,July
2036,2036-08,1157932.18,13392,62268,2.5384615384615383,August
2036,2036-09,1971216.56,17742,75164,2.411764705882353,September
2036,2036-10,798685.03,9204,65792,2.739130434782609,October
2036,2036-11,1487672.45,16320,85776,2.59375,November
2036,2036-12,1770701.76,16974,76654,2.3714285714285714,December
2037,2037-01,1536738.44,16255,78847,2.4642857142857144,January
2037,2037-02,1163785.58,9674,49767,2.5,February
2037,2037-03,1666262.51,17608,91374,2.5,March
2037,2037-04,1521001.78,13571,68713,2.0384615384615383,April
2037,2037-05,1707345.57,19891,93567,2.526315789473684,May
2037,2037-06,1301743.36,11854,50124,2.32,June
2037,2037-07,2312050.92,17582,89657,2.8205128205128207,July
2037,2037-08,1246162.99,11669,56392,2.3214285714285716,August
2037,2037-09,981841.75,9493,48397,2.5,September
2037,2037-10,1647832.54,19487,100961,2.5641025641025643,October
2037,2037-11,1380968.39,16184,79384,2.5,November
2037,2037-12,1230324.25,14130,75414,2.357142857142857,December
2038,2038-01,1628253.81,13922,83027,2.4827586206896552,January
2038,2038-02,1226572.82,10171,66483,3.0476190476190474,February
2038,2038-03,1595581.61,19055,93885,2.4473684210526314,March
2038,2038-04,2010578.43,18943,77200,2.9210526315789473,April
2038,2038-05,1890851.95,20011,91992,2.4324324324324325,May
2038,2038-06,1242141.04,13801,68584,2.5217391304347827,June
2038,2038-07,1493694.04,16757,90984,2.4411764705882355,July
2038,2038-08,1283207.3599999999,16405,62314,2.3214285714285716,August
2038,2038-09,1555494.28,11798,65150,2.2413793103448274,September
2038,2038-10,1632601.29,13485,72296,2.3666666666666667,October
2038,2038-11,1924496.1600000001,20051,92594,2.4722222222222223,November
2038,2038-12,1052531.24,11525,55716,2.260869565217391,December
2039,2039-01,1329684.52,12309,62006,2.5,January
2039,2039-02,1522451.82,12544,72153,2.8275862068965516,February
2039,2039-03,1345885.79,12569,74805,2.689655172413793,March
2039,2039-04,1422756.89,18021,88941,2.4545454545454546,April
2039,2039-05,1491365.1,19472,99480,2.526315789473684,May
2039,2039-06,1581037.65,11270,63730,2.8,June
2039,2039-07,2275657.32,22868,110304,2.5217391304347827,July
2039,2039-08,1481977.11,13775,65134,2.769230769230769,August
2039,2039-09,1382676.68,16295,64347,2.607142857142857,September
2039,2039-10,1472052.21,16083,74662,2.4193548387096775,October
2039,2039-11,1371335.86,17384,70232,2.5,November
2039,2039-12,1246983.71,11394,62869,2.64,December
2040,2040-01,1504228.1,14598,91407,2.1666666666666665,January
2040,2040-02,1310795.44,14005,58909,2.7333333333333334,February
2040,2040-03,1512095.07,14724,72364,2.6666666666666665,March
2040,2040-04,1356755.42,15396,83027,2.2903225806451615,April
2040,2040-05,1138507.32,14430,81758,2.4193548387096775,May
2040,2040-06,1658097.72,14917,80164,2.935483870967742,June
2040,2040-07,1643391.4,15177,86027,2.3529411764705883,July
2040,2040-08,1132835.38,14244,56762,2.269230769230769,August
2040,2040-09,1595793.68,14848,81614,2.40625,September
2040,2040-10,1179922.62,11946,69359,2.4583333333333335,October
2040,2040-11,1445590.5,16053,78437,2.757575757575758,November
2040,2040-12,1551995.76,18268,90345,2.6176470588235294,December
2041,2041-01,1683164.67,15633,84595,2.15625,January
2041,2041-02,1456279.9,16011,62217,2.2903225806451615,February
2041,2041-03,1690356.21,15215,89951,2.3548387096774195,March
2041,2041-04,1417339.9,13889,75709,2.5806451612903225,April
2041,2041-05,1478416.53,15834,54115,2.607142857142857,May
2041,2041-06,1619874.54,17036,66465,2.607142857142857,June
2041,2041-07,1725423.44,12331,81301,2.3636363636363638,July
2041,2041-08,1739413.83,16215,94734,2.3529411764705883,August
2041,2041-09,1280392.17,14003,68389,2.1666666666666665,September
2041,2041-10,1626250.81,16618,84262,2.375,October
2041,2041-11,1142343.79,13069,63624,2.8214285714285716,November
2041,2041-12,1060104.33,11424,38288,2.652173913043478,December
2042,2042-01,1727397.2,19513,77993,2.264705882352941,January
2042,2042-02,1397794.16,19440,96819,2.4444444444444446,February
2042,2042-03,2337923.72,19988,95870,2.41025641025641,March
2042,2042-04,1136821.29,12981,53092,2.5833333333333335,April
2042,2042-05,1268348.6,16957,85651,2.4545454545454546,May
2042,2042-06,1589872.85,16225,88266,2.3,June
2042,2042-07,1567895.6,16992,96318,2.303030303030303,July
2042,2042-08,1358808.07,13099,84688,2.6666666666666665,August
2042,2042-09,1681497.78,15052,89875,2.5675675675675675,September
2042,2042-10,1985758.6400000001,17061,85128,2.6857142857142855,October
2042,2042-11,1428234.73,12321,74482,2.46875,November
2042,2042-12,1442426.37,13570,74469,2.6296296296296298,December
2043,2043-01,1565981.02,16163,73720,2.6451612903225805,January
2043,2043-02,1442453.53,18786,77415,2.1724137931034484,February
2043,2043-03,2292362.04,26418,96810,2.276595744680851,March
2043,2043-04,1828912.63,20095,89567,2.7948717948717947,April
2043,2043-05,1407634.26,14642,74162,2.7666666666666666,May
2043,2043-06,1382029.44,11252,45824,2.4,June
2043,2043-07,1215370.6400000001,12040,49959,2.4545454545454546,July
2043,2043-08,1621013.19,11664,58548,2.7857142857142856,August
2043,2043-09,1423322.67,11204,61653,2.7777777777777777,September
2043,2043-10,1276646.25,12145,44046,2.590909090909091,October
2043,2043-11,1223232.32,13909,78671,2.6,November
2043,2043-12,1138976.4,12262,64756,2.1666666666666665,December
2044,2044-01,1411775.04,15525,105447,2.3870967741935485,January
2044,2044-02,1570291.28,14461,54637,2.4615384615384617,February
2044,2044-03,1455770.73,14789,82704,2.7666666666666666,March
2044,2044-04,1365669.29,13053,75558,2.4482758620689653,April
2044,2044-05,880084.16,7422,42508,2.8421052631578947,May
2044,2044-06,2041453.24,15350,85667,2.6842105263157894,June
2044,2044-07,1609880.56,14463,82683,2.870967741935484,July
2044,2044-08,1001466.77,12073,72687,2.608695652173913,August
2044,2044-09,1211860.54,16617,80388,2.3548387096774195,September
2044,2044-10,1920000.31,18905,90535,2.2777777777777777,October
2044,2044-11,2135814.88,20949,97321,2.45,November
2044,2044-12,2137491.81,18190,92737,2.676470588235294,December
2045,2045-01,1612216.74,12555,62666,2.740740740740741,January
2045,2045-02,1676082.69,14006,70810,2.2666666666666666,February
2045,2045-03,2023136.54,20001,80750,2.263157894736842,March
2045,2045-04,1024905.5800000001,12721,49516,2.2857142857142856,April
2045,2045-05,1602462.29,15981,73325,2.533333333333333,May
2045,2045-06,1253464.11,10967,64572,2.375,June
2045,2045-07,1358004.8599999999,14283,57704,2.310344827586207,July
2045,2045-08,1300964.16,14779,61060,2.2916666666666665,August
2045,2045-09,866135.1799999999,9247,51439,2.4,September
2045,2045-10,1655007.01,12443,79476,2.6666666666666665,October
2045,2045-11,936857.19,12427,54176,2.727272727272727,November
2045,2045-12,1137305.02,12025,57943,2.5,December
2046,2046-01,1541616.82,16744,70488,2.4642857142857144,January
2046,2046-02,2000234.73,15534,77137,2.4,February
2046,2046-03,1474624.42,14789,71169,2.6129032258064515,March
2046,2046-04,1248238.8,13561,66518,2.6666666666666665,April
2046,2046-05,1455530.78,15209,68996,2.103448275862069,May
2046,2046-06,1657578.21,14748,65667,2.6363636363636362,June
2046,2046-07,1200293.86,11466,60651,2.12,July
2046,2046-08,1912154.99,19397,88804,2.4857142857142858,August
2046,2046-09,1435086.79,11123,73860,2.7419354838709675,September
2046,2046-10,1313325.02,12851,70394,2.4615384615384617,October
2046,2046-11,2053293.1199999999,20503,81579,2.4285714285714284,November
2046,2046-12,1482166.17,13920,58725,2.269230769230769,December
2047,2047-01,1559664.16,15661,77305,2.566666666666667,January
2047,2047-02,854857.11,12087,47957,2.3,February
2047,2047-03,1174086.11,14157,71182,2.5925925925925926,March
2047,2047-04,1062613.11,13252,45790,2.090909090909091,April
2047,2047-05,1497389.77,14045,73555,2.2758620689655173,May
2047,2047-06,1125600.13,11377,62636,2.5217391304347827,June
2047,2047-07,1177405.3800000001,11616,57750,2.6,July
2047,2047-08,1582765.1,16879,67603,2.46875,August
2047,2047-09,1594592.41,17586,76382,2.6176470588235294,September
2047,2047-10,1383581.49,12336,64358,2.5185185185185186,October
2047,2047-11,2165416.19,21552,114373,2.341463414634146,November
2047,2047-12,2224858.96,24368,108025,2.372093023255814,December
2048,2048-01,1412512.67,18672,89202,2.5588235294117645,January
2048,2048-02,2134535.16,18551,102454,2.4,February
2048,2048-03,1464319.69,15080,78530,2.870967741935484,March
2048,2048-04,887300.74,11353,62211,2.2,April
2048,2048-05,1862424.93,16026,104633,2.6216216216216215,May
2048,2048-06,1522558.07,17043,75611,2.7,June
2048,2048-07,1799353.75,17848,76099,2.4375,July
2048,2048-08,1611445.31,16422,82267,2.4375,August
2048,2048-09,1026514.18,11040,41676,2.5,September
2048,2048-10,1327176.24,12835,71684,2.2333333333333334,October
2048,2048-11,1509460.59,15859,63831,2.7241379310344827,November
2048,2048-12,2220321.89,19557,103577,2.5238095238095237,December
2049,2049-01,1611490.09,13799,76774,1.875,January
2049,2049-02,1335111.77,14590,80784,2.5625,February
2049,2049-03,1416075.69,12778,68983,1.9583333333333333,March
2049,2049-04,1501957.3599999999,14831,86760,3.03125,April
2049,2049-05,1460991.43,12839,70389,2.4814814814814814,May
2049,2049-06,1502709.35,13532,66209,2.3333333333333335,June
2049,2049-07,916965.99,10897,56419,2.24,July
2049,2049-08,1543987.04,14802,88434,2.4545454545454546,August
2049,2049-09,1912833.65,18050,97955,2.7837837837837838,September
2049,2049-10,1670640.5,17711,104805,2.4571428571428573,October
2049,2049-11,1307985.41,12389,59183,2.5185185185185186,November
2049,2049-12,1122722.47,10753,51994,2.782608695652174,December
2050,2050-01,1483132.34,13846,66946,2.7777777777777777,January
2050,2050-02,1917241.87,16938,90083,2.4444444444444446,February
2050,2050-03,1125983.67,10787,55293,2.76,March
2050,2050-04,1726886.85,11146,73211,2.357142857142857,April
2050,2050-05,797445.28,6060,38633,2.466666666666667,May
