Campaign_ID,Month,Revenue_Generated,Conversions,Customer_Satisfaction_Post_Refund
CMP_0FLFC6,2034-04,64607.2,817,4.0
CMP_0G2HIY,2027-02,95536.06,809,4.0
CMP_0GAPYP,2044-07,18945.09,524,1.0
CMP_0GEFYU,2034-06,18230.6,869,1.0
CMP_0GHSU5,2045-08,88813.49,367,1.0
CMP_0GMDRE,2039-03,65389.38,153,3.0
CMP_0GNQQ4,2044-06,45236.23,311,3.0
CMP_0GWNLR,2041-09,48770.17,864,2.0
CMP_0H0PCQ,2044-12,90025.25,33,3.0
CMP_0H38CB,2024-05,58369.85,526,2.0
CMP_0HNHK2,2046-06,47413.44,521,3.0
CMP_0HPY4Q,2026-01,54416.75,315,3.0
CMP_0HQSE6,2032-08,36049.42,489,4.0
CMP_0HSAT4,2041-08,72519.24,10,4.0
CMP_0I0RHQ,2039-03,25309.28,562,2.0
CMP_0I18A8,2039-05,64792.66,582,3.0
CMP_0I4WPA,2043-05,50783.8,136,4.0
CMP_0I7MML,2029-07,21227.06,863,3.0
CMP_0I960V,2034-04,54357.75,601,4.0
CMP_0IB6OS,2025-06,87017.13,438,2.0
CMP_0IE2R4,2030-08,32023.52,841,3.0
CMP_0IEQMD,2042-03,20405.02,636,4.0
CMP_0IKBLJ,2034-04,39993.12,971,2.0
CMP_0IKORK,2030-12,21536.02,612,3.0
CMP_0IPRCE,2048-10,51070.91,309,2.0
CMP_0J0VKC,2035-02,89659.98,778,2.0
CMP_0J25QW,2037-01,30695.49,991,1.0
CMP_0JAUJX,2030-01,85035.52,589,1.0
CMP_0JDGRZ,2033-05,13122.7,312,4.0
CMP_0JENOM,2039-09,80113.91,954,2.0
CMP_0JFK04,2026-03,98608.81,12,4.0
CMP_0JGPI6,2039-09,9290.01,740,4.0
CMP_0JGVHP,2043-11,96994.7,116,3.0
CMP_0JHG9T,2023-05,50681.42,856,3.0
CMP_0JHJ1D,2044-10,23249.94,385,3.0
CMP_0JL96O,2040-04,64029.26,201,2.0
CMP_0JP41N,2038-08,65517.67,320,1.0
CMP_0JP4JF,2029-08,24186.85,721,2.0
CMP_0JPJSU,2043-07,79350.86,305,1.0
CMP_0JPWHH,2033-01,97389.95,882,4.0
CMP_0K61Y7,2043-03,27429.34,905,4.0
CMP_0K8CKF,2039-10,65600.27,543,2.0
CMP_0KE5K7,2036-07,78735.59,202,3.0
CMP_0KFLRV,2032-03,40141.08,857,4.0
CMP_0KPFQL,2028-08,51372.49,858,3.0
CMP_0KR66U,2043-08,31987.71,490,4.0
CMP_0KUC9M,2034-07,77358.84,885,3.0
CMP_0L2N5D,2043-03,80386.89,133,3.0
CMP_0LB1W8,2027-03,84657.62,122,3.0
CMP_0LB2IT,2047-01,97948.84,655,3.0
CMP_0LC9PN,2037-01,18367.22,912,1.0
CMP_0LJXYO,2039-05,11416.65,127,1.0
CMP_0LOLDV,2042-05,32238.65,910,3.0
CMP_0LP7HL,2046-07,88765.74,935,3.0
CMP_0LYV78,2037-02,72861.78,23,4.0
CMP_0LYXXA,2027-11,71545.29,318,1.0
CMP_0MAQA1,2025-06,70919.49,555,3.0
CMP_0MCNQD,2028-06,8688.33,540,3.0
CMP_0MIZK8,2044-07,75159.69,319,4.0
CMP_0MJXN5,2035-05,44945.24,403,3.0
CMP_0MM2VN,2049-09,81174.05,375,3.0
CMP_0MMQDP,2027-07,34871.5,444,3.0
CMP_0MP7OS,2044-10,83290.91,659,2.0
CMP_0MPYW4,2048-02,75431.71,250,2.0
CMP_0MU13M,2041-07,35503.63,476,3.0
CMP_0MVPKI,2026-05,87133.03,443,4.0
CMP_0N0RYN,2030-08,36540.46,127,2.0
CMP_0N22JH,2025-11,73262.9,595,4.0
CMP_0N4QEE,2023-07,46480.86,594,4.0
CMP_0N9K9L,2039-06,98083.61,111,3.0
CMP_0NBPCV,2043-01,71974.04,111,4.0
CMP_0NL2WV,2043-01,39518.65,49,2.0
CMP_0NMUY2,2027-03,19870.54,884,4.0
CMP_0NPVAA,2040-07,35808.12,147,4.0
CMP_0NQOFE,2037-05,20519.84,616,3.0
CMP_0NWWLP,2026-10,32765.72,316,3.0
CMP_0NX46N,2028-01,36867.66,657,1.0
CMP_0O2BFX,2050-05,25130.08,136,4.0
CMP_0ODR9W,2048-01,60566.67,422,3.0
CMP_0OIU5N,2050-02,15762.74,615,4.0
CMP_0OL7SY,2024-06,63183.88,986,2.0
CMP_0OMOAI,2042-03,29955.67,207,2.0
CMP_0OPIY8,2038-06,46734.25,442,3.0
CMP_0P4FZV,2033-05,74217.66,552,2.0
CMP_0P50FB,2033-02,62590.11,853,4.0
CMP_0P8Q3D,2036-07,69954.36,875,4.0
CMP_0PAO4F,2031-11,92420.22,776,4.0
CMP_0PC264,2030-09,19958.23,865,2.0
CMP_0PF63K,2036-10,4477.69,428,4.0
CMP_0PR6DG,2035-09,88401.64,633,2.0
CMP_0PU2JA,2042-01,17175.69,970,2.0
CMP_0PU9U8,2041-05,8593.36,834,4.0
CMP_0PUST7,2036-10,66406.22,860,2.0
CMP_0PVZ2S,2037-09,22999.41,578,1.0
CMP_0PXGJ3,2028-04,7953.33,793,3.0
CMP_0PZG02,2039-05,55368.03,220,1.0
CMP_0PZXLP,2033-04,90527.35,337,2.0
CMP_0Q7WM2,2027-01,2623.96,527,2.0
CMP_0QJJYV,2031-05,64256.05,667,4.0
CMP_0R5XKO,2033-11,96911.41,714,1.0
CMP_0RAAPD,2027-06,14975.82,394,3.0
CMP_0RMC89,2023-10,15855.74,752,4.0
CMP_0RQFJN,2042-06,66455.8,782,1.0
CMP_0RRO40,2043-03,15913.78,93,4.0
CMP_0RT0K2,2025-07,45081.65,14,2.0
CMP_0S2YO1,2048-05,79359.41,452,2.0
CMP_0S43BF,2037-09,73219.0,338,3.0
CMP_0SEH5V,2031-02,17350.83,296,4.0
CMP_0SGCF6,2041-09,75329.72,51,1.0
CMP_0SMUV8,2028-08,96265.03,414,2.0
CMP_0SQXMF,2026-10,6164.12,13,3.0
CMP_0SYA47,2029-06,52678.3,594,2.0
CMP_0T5W4U,2040-07,66244.78,759,1.0
CMP_0T5YC3,2048-07,78346.83,474,1.0
CMP_0TBDE1,2029-11,18738.16,414,1.0
CMP_0TPY1C,2033-08,95883.14,527,4.0
CMP_0TYA8O,2041-06,96741.6,843,3.0
CMP_0U3MQ3,2028-03,27000.69,177,2.0
CMP_0U9O51,2024-02,8252.36,476,2.0
CMP_0UBEDM,2030-11,48278.6,983,3.0
CMP_0UNB8O,2038-11,79864.21,396,1.0
CMP_0UORG1,2047-08,3689.8,82,1.0
CMP_0UZVXM,2033-03,91595.31,21,2.0
CMP_0V5QD9,2031-10,67977.8,972,3.0
CMP_0V71FE,2045-03,7483.91,947,2.0
CMP_0VOBX6,2036-09,83839.29,520,3.0
CMP_0VQAAI,2033-06,46376.36,183,1.0
CMP_0VQN38,2031-09,15908.78,310,1.0
CMP_0W6QME,2031-09,56855.15,396,3.0
CMP_0WH96S,2027-08,14703.06,185,2.0
CMP_0WHPP9,2025-03,97389.34,586,2.0
CMP_0WI6I9,2039-07,1983.09,596,1.0
CMP_0WJV58,2045-07,29103.52,490,4.0
CMP_0WN9E1,2032-02,65257.12,347,1.0
CMP_0WQ5U0,2029-05,19772.64,362,2.0
CMP_0WQVO6,2039-08,2832.46,527,4.0
CMP_0WRVBV,2029-06,72421.54,432,2.0
CMP_0WU9A1,2026-01,19788.04,488,2.0
CMP_0X3GQF,2048-03,20439.44,121,3.0
CMP_0X42UO,2042-09,18644.76,254,1.0
CMP_0X4OK7,2025-03,79062.55,626,3.0
CMP_0X6369,2031-01,84280.49,113,4.0
CMP_0XGMHG,2025-09,15415.62,404,1.0
CMP_0XKQEH,2037-05,40364.36,500,3.0
CMP_0XL1AO,2047-07,28170.15,47,2.0
CMP_0XN5H0,2047-07,83009.71,175,1.0
CMP_0XQ8L2,2037-12,7532.12,426,3.0
CMP_0XR45Y,2033-10,57063.26,169,1.0
CMP_0XWTOC,2023-06,87601.45,303,3.0
CMP_0Y7W0O,2024-11,70202.43,906,1.0
CMP_0Y7W61,2035-12,58608.77,743,2.0
CMP_0YDM3R,2036-03,85303.4,571,2.0
CMP_0YFN4K,2036-12,72863.66,642,2.0
CMP_0YL898,2035-07,19891.42,227,2.0
CMP_0YW0TP,2029-06,98284.01,69,1.0
CMP_0YXNVD,2029-11,72051.06,49,1.0
CMP_0Z2EBA,2031-03,92025.96,380,1.0
CMP_0Z2QPY,2034-02,82339.11,505,2.0
CMP_0Z6BVS,2034-04,3711.79,85,2.0
CMP_0Z71BX,2025-05,46935.58,836,3.0
CMP_0Z7X6P,2032-01,38452.93,127,2.0
CMP_0ZFOGC,2049-02,64584.19,268,4.0
CMP_0ZL5ET,2042-04,35953.92,211,4.0
CMP_0ZNK5A,2031-09,8743.66,932,4.0
CMP_0ZTG9Y,2023-04,33736.42,227,2.0
CMP_0ZZCD9,2036-04,1654.73,378,2.0
CMP_100QJQ,2043-05,91357.43,972,2.0
CMP_102D4S,2041-08,70780.02,578,1.0
CMP_104T08,2039-08,62242.9,739,1.0
CMP_10BGHC,2026-09,82661.07,440,1.0
CMP_10K6ZN,2032-10,27210.44,45,4.0
CMP_10THU6,2034-07,72583.66,108,4.0
CMP_10XH1V,2039-10,35077.79,18,1.0
CMP_112AZU,2046-01,41725.7,724,1.0
CMP_112JW9,2043-06,63599.22,104,1.0
CMP_113DKG,2042-02,14948.85,879,1.0
CMP_11M3FX,2024-05,40095.67,577,1.0
CMP_11S0ZS,2037-02,34578.81,583,4.0
CMP_11SWTV,2038-11,80282.77,862,1.0
CMP_122WIS,2025-02,59952.2,560,3.0
CMP_125B8Y,2031-05,28787.38,536,3.0
CMP_12MGMV,2037-08,21636.82,479,3.0
CMP_12N78C,2027-12,82381.01,136,3.0
CMP_131F0Q,2033-08,43844.54,774,3.0
CMP_133AJD,2045-11,17842.55,629,2.0
CMP_133FEG,2035-06,5966.5,42,3.0
CMP_136B66,2032-03,64289.64,725,2.0
CMP_137MUG,2034-12,22765.99,380,4.0
CMP_13AP7U,2043-02,83530.73,829,3.0
CMP_13CMQF,2024-02,70509.79,411,4.0
CMP_13QXX3,2024-06,80647.25,18,2.0
CMP_13TLQK,2027-11,81320.07,600,1.0
CMP_13YK9U,2039-07,56665.3,652,1.0
CMP_140OQY,2043-12,30839.78,369,3.0
CMP_14102Z,2025-07,99501.66,118,4.0
CMP_142Y1D,2025-10,67969.48,425,3.0
CMP_146UTR,2028-12,15362.33,532,2.0
CMP_14BJC6,2023-08,77138.87,661,2.0
CMP_14EOX5,2031-06,33774.35,481,3.0
CMP_14G6RQ,2048-09,47637.93,247,3.0
CMP_14L7KY,2045-07,98257.58,736,2.0
CMP_154YX8,2027-09,25432.9,989,4.0
CMP_155GQW,2040-10,92321.6,799,4.0
CMP_15615H,2037-10,61842.3,345,1.0
CMP_157PF9,2031-08,95853.84,623,2.0
CMP_158FBJ,2023-07,68426.43,734,1.0
CMP_15EHYG,2024-07,82408.0,527,2.0
CMP_15EKE0,2043-03,24879.86,848,1.0
CMP_15J2PM,2028-02,54211.42,957,1.0
CMP_15JE10,2023-06,94662.57,271,4.0
CMP_15PZF7,2039-10,57243.07,850,3.0
CMP_15QNVT,2030-02,65371.05,273,2.0
CMP_15U91F,2043-02,33546.82,964,3.0
CMP_15V7IO,2023-07,18418.26,828,1.0
CMP_15WLSP,2023-01,10063.08,691,1.0
CMP_1613NP,2049-04,6244.0,533,3.0
CMP_16I446,2050-03,10825.94,74,3.0
CMP_16K453,2046-04,13564.02,278,2.0
CMP_16ORSL,2035-09,31460.7,394,2.0
CMP_16SPFM,2044-10,8592.21,453,1.0
CMP_16UGMI,2031-09,96212.34,71,2.0
CMP_16WDU5,2047-06,2047.9,824,2.0
CMP_16WTFW,2029-06,93740.94,345,1.0
CMP_171B4K,2040-12,64613.79,382,4.0
CMP_175P4K,2048-06,10555.01,801,1.0
CMP_176A1Z,2039-03,50816.99,845,4.0
CMP_17LPA8,2044-10,90368.6,96,3.0
CMP_17TRCU,2027-08,5704.54,391,4.0
CMP_17UEQA,2029-02,35543.44,693,4.0
CMP_17XE1Q,2034-07,21998.51,733,3.0
CMP_17Z9PV,2035-12,60302.33,603,4.0
CMP_17ZPO9,2047-04,15030.45,865,2.0
CMP_182D85,2032-01,68714.53,1,1.0
CMP_182HBX,2040-12,81272.84,762,1.0
CMP_187M39,2032-11,73999.05,933,4.0
CMP_18DUN3,2040-02,41558.25,428,2.0
CMP_18HUO7,2046-12,79143.56,634,1.0
CMP_18J5F2,2040-11,23040.55,672,3.0
CMP_18X9XW,2045-09,41856.57,611,1.0
CMP_18ZZWF,2042-02,4421.71,51,2.0
CMP_192Z0V,2034-12,58114.49,22,2.0
CMP_198XOO,2042-03,63929.37,770,2.0
CMP_19A76G,2043-08,79489.89,868,3.0
CMP_19BE1L,2031-09,53890.93,876,4.0
CMP_19J09Y,2046-12,57976.81,137,2.0
CMP_19JZ8Z,2023-08,38469.13,995,3.0
CMP_19KSU7,2029-04,20354.71,441,2.0
CMP_19VD0C,2025-06,91753.87,560,3.0
CMP_19WZYO,2037-11,97603.2,380,2.0
CMP_1A3X9W,2023-07,10907.31,928,3.0
CMP_1AUJ4W,2024-02,66118.89,866,2.0
CMP_1AXNBS,2049-03,61760.62,960,2.0
CMP_1B2AC9,2036-09,98310.53,580,2.0
CMP_1B4A5T,2025-06,47510.55,588,1.0
CMP_1BK3LB,2046-08,88293.01,48,4.0
CMP_1BM3TH,2037-11,90129.53,465,1.0
CMP_1BRGIW,2024-07,10646.08,482,2.0
CMP_1BXKGT,2033-04,51533.01,757,2.0
CMP_1BXZN9,2033-07,8057.49,343,1.0
CMP_1C8W8G,2048-12,10011.07,320,3.0
CMP_1CCLQR,2047-11,14936.49,874,2.0
CMP_1CENJV,2028-10,89080.92,834,4.0
CMP_1CGSTS,2035-07,98117.79,462,3.0
CMP_1CL8UP,2037-01,49005.5,360,1.0
CMP_1CMPEI,2047-09,64030.43,848,4.0
CMP_1CMQN0,2029-03,54566.47,694,4.0
CMP_1CQ63G,2049-07,30196.55,722,4.0
CMP_1CY1FG,2039-03,36517.34,293,3.0
CMP_1CYCRD,2045-05,68508.48,189,2.0
CMP_1CZUF5,2036-12,9582.77,65,2.0
CMP_1DBIMF,2025-03,32961.09,102,2.0
CMP_1DTXJL,2038-10,39060.26,204,3.0
CMP_1DWJ63,2029-07,66774.73,339,2.0
CMP_1DXWZ9,2025-02,58029.28,853,3.0
CMP_1E3XHH,2030-09,19744.41,868,2.0
CMP_1E7YEZ,2031-06,69388.06,426,4.0
CMP_1E8OBH,2039-02,49965.22,155,4.0
CMP_1EA2XZ,2037-05,55628.67,386,4.0
CMP_1EEH8M,2047-04,23040.32,803,4.0
CMP_1EJLSB,2034-05,15276.03,704,1.0
CMP_1ER2SK,2038-05,73918.77,723,4.0
CMP_1ESDRV,2035-04,32032.66,23,3.0
CMP_1EY5JI,2034-07,52267.78,28,4.0
CMP_1EZ9FP,2023-12,66384.55,626,2.0
CMP_1EZVUX,2033-08,29406.47,610,3.0
CMP_1F4AXX,2038-10,82540.36,143,2.0
CMP_1FBW6V,2045-11,48443.07,390,3.0
CMP_1FWPNK,2031-09,41048.27,351,4.0
CMP_1FWRGB,2042-09,31151.61,182,4.0
CMP_1G17HI,2032-01,2192.39,355,1.0
CMP_1G1C1Z,2042-06,33724.94,58,1.0
CMP_1G1O3X,2023-08,51864.35,882,3.0
CMP_1G21L8,2025-06,80211.36,789,2.0
CMP_1G3CD6,2031-04,45074.7,208,4.0
CMP_1G7ZMS,2033-10,31233.41,56,2.0
CMP_1G8BXQ,2030-09,30094.05,222,1.0
CMP_1GBUFD,2038-11,45140.81,434,3.0
CMP_1GI5I0,2045-02,18512.25,680,3.0
CMP_1GZRAX,2042-10,57262.55,163,4.0
CMP_1H1G36,2023-08,37988.43,613,2.0
CMP_1H27CY,2035-06,67816.97,440,4.0
CMP_1H2CKV,2039-02,38198.35,966,2.0
CMP_1H2M6M,2045-07,56966.99,828,1.0
CMP_1H3A8K,2042-04,55642.11,143,4.0
CMP_1H6YUQ,2033-09,42922.33,997,3.0
CMP_1H7ZH1,2042-01,55478.2,834,1.0
CMP_1HA8GO,2043-02,80830.61,994,1.0
CMP_1HBDE1,2024-07,25655.98,50,1.0
CMP_1HBHJN,2034-06,17014.06,232,3.0
CMP_1HF2M8,2047-11,76659.68,68,1.0
CMP_1HJ1X4,2028-09,46345.84,312,2.0
CMP_1HM6PW,2036-03,11625.58,434,2.0
CMP_1HNQE7,2040-05,30688.47,677,2.0
CMP_1I05FD,2038-11,61084.2,209,2.0
CMP_1I2VZO,2034-11,84694.9,494,3.0
CMP_1I4XAW,2047-12,52028.01,143,3.0
CMP_1I6ULE,2040-05,24815.83,394,4.0
CMP_1I7HFU,2025-04,74481.54,884,1.0
CMP_1I8TME,2035-10,13596.59,6,1.0
CMP_1IB0DT,2032-10,88826.67,599,2.0
CMP_1IBCFZ,2035-09,52238.58,490,4.0
CMP_1IF1PF,2042-06,77233.45,602,3.0
CMP_1IFF3C,2032-10,52273.27,290,4.0
CMP_1IJH7I,2042-03,72315.9,318,2.0
CMP_1IKAAQ,2028-06,88197.3,21,4.0
CMP_1IMBJV,2027-06,35023.49,348,4.0
CMP_1IOR96,2032-07,8544.94,863,4.0
CMP_1IZXVM,2049-03,67235.58,363,1.0
CMP_1J4P56,2028-01,39107.45,990,2.0
CMP_1JCC31,2031-10,61427.51,734,3.0
CMP_1JCR9W,2041-06,22949.37,956,2.0
CMP_1JKEHM,2039-03,8097.44,502,3.0
CMP_1JOFR3,2035-07,73298.88,111,3.0
CMP_1K924K,2049-11,10320.97,428,3.0
CMP_1KJ0K9,2026-09,98095.6,496,2.0
CMP_1KM2BQ,2024-02,1020.84,151,3.0
CMP_1KMELA,2039-09,52238.45,333,1.0
CMP_1KQ4KW,2044-07,20861.14,779,2.0
CMP_1KTDEP,2024-08,91471.74,216,4.0
CMP_1KUIVH,2035-07,47367.04,806,1.0
CMP_1KWY72,2025-08,63319.9,506,2.0
CMP_1KZEWQ,2038-11,69977.9,648,4.0
CMP_1L78PZ,2031-09,36019.0,579,1.0
CMP_1L80UV,2046-01,6552.31,844,2.0
CMP_1LBQG2,2047-06,66357.51,382,2.0
CMP_1LCGS5,2031-01,17037.25,476,4.0
CMP_1LMH0A,2034-12,14354.31,702,4.0
CMP_1LPGG0,2031-07,52238.65,522,4.0
CMP_1LPP8Z,2025-06,40667.52,509,1.0
CMP_1LPYP4,2025-07,24593.49,204,3.0
CMP_1LV7CN,2044-01,49025.97,637,1.0
CMP_1LZ40E,2023-02,70088.95,67,4.0
CMP_1M34GC,2035-09,33454.56,226,2.0
CMP_1MDTFQ,2043-05,49430.67,593,2.0
CMP_1ME35Y,2023-06,73854.02,517,3.0
CMP_1MEEDR,2028-11,53644.93,963,2.0
CMP_1MEGKV,2045-04,58067.35,490,3.0
CMP_1MGC40,2033-08,6263.26,707,1.0
CMP_1MHLVM,2024-05,4773.82,455,2.0
CMP_1MIAHQ,2023-03,86240.09,293,3.0
CMP_1MIP2T,2024-07,66710.83,256,3.0
CMP_1MW9FD,2045-02,39086.62,794,4.0
CMP_1MYQCU,2027-11,60832.24,111,1.0
CMP_1MZ4L8,2024-12,32388.4,960,1.0
CMP_1NBNEJ,2031-06,30774.88,36,1.0
CMP_1NLMJU,2023-12,74856.08,891,1.0
CMP_1NQBUA,2028-02,2975.2,74,1.0
CMP_1NTMR8,2029-01,87719.06,103,1.0
CMP_1NX23J,2033-01,16600.43,219,4.0
CMP_1NYZX2,2049-04,10429.57,663,3.0
CMP_1ODBX3,2029-02,38176.51,166,4.0
CMP_1OFIAC,2037-03,47368.71,892,3.0
CMP_1OH421,2028-03,47920.6,496,3.0
CMP_1OKZ2B,2041-08,63255.35,229,2.0
CMP_1OM27Z,2027-03,24928.44,834,4.0
CMP_1OOI5U,2044-01,9039.53,364,3.0
CMP_1OTCSF,2036-09,62475.7,628,2.0
CMP_1OUIAK,2043-11,33448.53,88,2.0
CMP_1OVK7E,2046-11,57158.76,151,2.0
CMP_1P1L1U,2048-06,45739.34,787,2.0
CMP_1P47C2,2043-01,20544.32,832,3.0
CMP_1P7NA9,2031-03,67349.86,180,4.0
CMP_1PAOA4,2038-11,13675.78,133,1.0
CMP_1PLGSL,2024-08,90729.51,620,4.0
CMP_1PMPEA,2024-07,83638.72,64,4.0
CMP_1PN441,2034-02,37130.04,228,1.0
CMP_1PQQLM,2032-02,89475.29,694,2.0
CMP_1Q0MXG,2046-03,57956.2,197,4.0
CMP_1Q9VR0,2043-11,67709.65,673,4.0
CMP_1QDG4C,2045-10,18817.34,48,3.0
CMP_1QH2LX,2030-11,27289.7,722,3.0
CMP_1QMRRS,2024-11,18839.95,989,4.0
CMP_1QSCZE,2046-05,57709.38,127,3.0
CMP_1R18PS,2029-01,96589.84,599,1.0
CMP_1RC25D,2043-03,36747.66,364,4.0
CMP_1RC9OK,2025-09,78202.54,776,4.0
CMP_1RQPDA,2031-03,31505.47,681,2.0
CMP_1RSOBX,2027-03,1590.38,318,4.0
CMP_1RTE8T,2036-02,77760.91,189,2.0
CMP_1RW344,2026-08,95750.39,185,1.0
CMP_1S0YFF,2024-05,2932.88,673,4.0
CMP_1S478N,2035-04,88166.33,356,2.0
CMP_1S5EHL,2026-03,78134.73,30,3.0
CMP_1S6O3N,2045-09,51122.46,342,1.0
CMP_1SBJ1Y,2042-12,68284.84,395,2.0
CMP_1SG049,2038-07,40425.98,562,3.0
CMP_1SG6SC,2039-07,83192.44,873,2.0
CMP_1SIPPF,2023-01,41974.23,393,1.0
CMP_1SK145,2023-06,16089.53,78,3.0
CMP_1SOLKC,2024-08,86686.77,278,2.0
CMP_1SXYCQ,2049-05,35251.51,868,2.0
CMP_1T1CMC,2046-12,61419.79,65,2.0
CMP_1T3J0F,2026-10,91817.59,381,1.0
