Discount_Level,Month,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund,Discount_Category
10,2038-03,44429.13,108,4.0,0-10%
10,2038-06,35681.11,31,1.0,0-10%
10,2038-07,42876.79,93,3.0,0-10%
10,2038-08,65517.67,36,1.0,0-10%
10,2038-09,81072.26,137,1.5,0-10%
10,2038-11,97204.38,170,2.0,0-10%
10,2038-12,20610.98,186,1.0,0-10%
10,2039-06,95532.28,190,4.0,0-10%
10,2039-10,67007.34,205,4.0,0-10%
10,2040-01,26117.05,195,4.0,0-10%
10,2040-02,69745.44,66,4.0,0-10%
10,2040-07,94617.47,137,2.0,0-10%
10,2040-08,81383.26,159,2.0,0-10%
10,2040-11,20220.53,66,2.0,0-10%
10,2041-06,66302.8,113,2.0,0-10%
10,2041-07,28633.28,113,4.0,0-10%
10,2041-08,68370.09,234,2.0,0-10%
10,2041-09,38522.1,9,4.0,0-10%
10,2042-01,149102.47,172,2.5,0-10%
10,2042-02,8874.98,86,3.0,0-10%
10,2042-04,30663.36,48,4.0,0-10%
10,2042-06,86384.95,44,3.0,0-10%
10,2042-09,17285.74,16,1.0,0-10%
10,2042-11,21705.489999999998,96,2.5,0-10%
10,2043-01,73917.66,175,4.0,0-10%
10,2043-03,156928.3,210,2.5,0-10%
10,2043-05,146159.19,132,2.5,0-10%
10,2043-07,74830.32,129,3.0,0-10%
10,2043-09,98329.78,143,2.0,0-10%
10,2044-06,56453.25,6,4.0,0-10%
10,2044-11,85766.02,104,1.0,0-10%
10,2045-03,113780.62,211,2.5,0-10%
10,2045-06,38630.79,93,2.0,0-10%
10,2045-07,29103.52,118,4.0,0-10%
10,2045-10,84998.68,65,2.0,0-10%
10,2045-11,90214.83,45,3.0,0-10%
10,2046-02,51117.34,20,1.0,0-10%
10,2046-03,72262.72,195,3.0,0-10%
10,2046-10,86244.28,179,3.0,0-10%
10,2047-01,80809.94,103,1.0,0-10%
10,2047-04,85435.2,154,4.0,0-10%
10,2047-11,14936.49,122,2.0,0-10%
10,2047-12,19328.33,32,3.0,0-10%
10,2048-01,95097.65,227,3.0,0-10%
10,2048-02,11733.33,158,1.0,0-10%
10,2048-05,91392.78,67,4.0,0-10%
10,2048-06,103079.99,167,3.5,0-10%
10,2048-08,98778.6,94,3.0,0-10%
10,2048-09,133381.46,148,2.0,0-10%
10,2048-10,35151.67,305,3.0,0-10%
10,2049-05,77791.26,129,1.0,0-10%
10,2049-07,4234.96,93,4.0,0-10%
10,2049-09,93679.34,80,4.0,0-10%
10,2050-04,99789.52,39,3.0,0-10%
10,2050-05,54576.37,138,2.0,0-10%
11,2023-03,86240.09,155,3.0,10-20%
11,2023-05,57011.7,176,1.0,10-20%
11,2023-11,98045.3,99,2.0,10-20%
11,2024-02,106924.8,238,2.0,10-20%
11,2024-03,65140.69,128,1.0,10-20%
11,2024-04,5985.31,65,3.0,10-20%
11,2024-09,58730.85,172,2.0,10-20%
11,2024-10,95511.43,147,1.0,10-20%
11,2025-02,70499.26,163,2.5,10-20%
11,2025-05,68664.75,8,1.0,10-20%
11,2025-07,84609.14,211,3.0,10-20%
11,2025-08,19458.95,52,2.0,10-20%
11,2025-09,64342.81,81,2.0,10-20%
11,2026-01,3225.84,137,4.0,10-20%
11,2026-02,13300.29,140,2.0,10-20%
11,2026-05,90143.05,129,1.0,10-20%
11,2026-07,67250.5,117,2.0,10-20%
11,2026-11,37133.47,198,2.0,10-20%
11,2027-01,55594.11,162,3.0,10-20%
11,2027-02,63369.79,29,3.0,10-20%
11,2027-03,31545.18,167,4.0,10-20%
11,2027-09,32300.44,66,2.0,10-20%
11,2027-11,19912.83,58,4.0,10-20%
11,2028-01,51119.94,67,3.0,10-20%
11,2028-04,55106.15,165,1.0,10-20%
11,2028-06,71013.37,322,2.0,10-20%
11,2029-04,20791.24,154,3.0,10-20%
11,2029-05,98764.51,177,1.0,10-20%
11,2029-06,21292.92,54,1.0,10-20%
11,2029-08,77977.63,347,3.0,10-20%
11,2029-12,53003.53,71,2.0,10-20%
11,2030-01,51020.41,185,3.0,10-20%
11,2030-03,29510.88,115,1.0,10-20%
11,2030-04,42775.65,136,3.0,10-20%
11,2030-06,65518.56,161,3.0,10-20%
11,2030-07,29201.09,32,1.0,10-20%
11,2030-10,40568.76,183,1.0,10-20%
11,2030-11,25485.01,108,1.0,10-20%
11,2031-04,104161.61,236,3.5,10-20%
11,2031-05,28787.38,127,3.0,10-20%
11,2031-07,51918.77,135,4.0,10-20%
11,2031-08,10532.76,13,4.0,10-20%
11,2031-09,15908.78,36,1.0,10-20%
11,2031-11,81995.21,180,3.0,10-20%
11,2032-04,146185.41999999998,97,2.0,10-20%
11,2032-05,80017.65,199,2.0,10-20%
11,2032-07,90219.74,137,2.0,10-20%
11,2033-03,102707.66,104,3.0,10-20%
11,2033-06,17499.28,99,3.0,10-20%
11,2033-09,193670.2,136,2.5,10-20%
11,2034-06,72161.61,42,1.0,10-20%
11,2034-09,258660.99,482,3.3333333333333335,10-20%
11,2034-11,41539.52,162,1.0,10-20%
11,2035-05,44945.24,126,3.0,10-20%
11,2035-06,6606.93,141,3.0,10-20%
11,2035-07,14887.93,190,4.0,10-20%
11,2035-10,72160.68000000001,232,1.0,10-20%
11,2035-12,66776.26,4,3.0,10-20%
11,2036-02,39550.11,93,4.0,10-20%
11,2036-06,25487.95,122,3.0,10-20%
11,2036-09,42085.71,114,2.0,10-20%
11,2036-10,93804.57,107,1.0,10-20%
11,2037-01,75787.29,159,4.0,10-20%
11,2037-04,4533.44,160,4.0,10-20%
11,2037-06,87098.84,92,3.0,10-20%
11,2037-08,6808.23,163,2.0,10-20%
11,2038-02,30564.7,108,3.0,10-20%
11,2038-04,109513.86,167,2.5,10-20%
11,2038-07,86743.38,226,1.5,10-20%
11,2038-10,96196.84,94,1.0,10-20%
11,2039-06,98083.61,26,3.0,10-20%
11,2040-02,125392.2,373,3.0,10-20%
11,2040-03,9432.32,138,4.0,10-20%
11,2040-04,52041.759999999995,55,2.5,10-20%
11,2040-09,96349.0,153,1.0,10-20%
11,2040-12,99258.33,117,3.5,10-20%
11,2041-01,19798.24,194,2.0,10-20%
11,2041-02,40516.74,172,3.0,10-20%
11,2041-03,37940.49,184,1.0,10-20%
11,2041-07,3326.25,101,3.0,10-20%
11,2042-01,23067.86,66,3.0,10-20%
11,2042-03,59459.6,45,4.0,10-20%
11,2042-04,92717.01,22,2.0,10-20%
11,2042-07,29229.26,167,2.0,10-20%
11,2042-08,44508.53,3,1.0,10-20%
11,2042-09,17723.89,130,3.0,10-20%
11,2042-10,70164.14,21,1.0,10-20%
11,2042-11,30074.8,31,2.0,10-20%
11,2043-09,115902.83,186,4.0,10-20%
11,2044-03,136692.51,98,3.5,10-20%
11,2044-06,40427.29,15,4.0,10-20%
11,2044-09,12882.91,82,2.0,10-20%
11,2044-10,71177.2,163,2.0,10-20%
11,2044-11,71373.8,9,2.0,10-20%
11,2045-01,32496.64,9,1.0,10-20%
11,2045-03,17088.66,42,1.0,10-20%
11,2045-07,59989.31,115,2.0,10-20%
11,2045-09,85467.7,69,1.0,10-20%
11,2045-10,10887.66,126,4.0,10-20%
11,2045-11,115667.53,111,3.0,10-20%
11,2045-12,99572.48,49,2.0,10-20%
11,2046-06,29351.53,59,2.0,10-20%
11,2046-09,63975.2,43,2.0,10-20%
11,2046-10,102662.54,173,2.5,10-20%
11,2046-12,75254.67,7,1.0,10-20%
11,2047-01,148587.69,227,2.5,10-20%
11,2047-03,42261.79,157,2.5,10-20%
11,2047-04,96574.88,111,2.0,10-20%
11,2047-05,56964.119999999995,58,2.5,10-20%
11,2047-06,66357.51,113,2.0,10-20%
11,2047-09,13948.21,124,2.0,10-20%
11,2047-12,40036.53,64,3.0,10-20%
11,2048-01,68954.09,111,1.0,10-20%
11,2048-07,156324.26,56,1.5,10-20%
11,2048-09,79136.57,41,2.0,10-20%
11,2048-10,11553.17,33,2.0,10-20%
11,2049-04,59749.47,180,2.0,10-20%
11,2049-06,89023.27,341,2.0,10-20%
11,2049-08,51010.81,146,1.0,10-20%
11,2049-09,10918.61,199,3.0,10-20%
11,2049-10,34495.46,132,4.0,10-20%
11,2050-02,64036.71,182,3.0,10-20%
11,2050-04,190177.45,180,2.0,10-20%
12,2023-10,206600.65999999997,283,2.0,10-20%
12,2023-12,195741.75,267,2.6666666666666665,10-20%
12,2024-01,23045.47,47,4.0,10-20%
12,2024-02,65971.88,15,3.0,10-20%
12,2024-08,147345.08000000002,245,3.0,10-20%
12,2025-01,57705.42,149,4.0,10-20%
12,2025-03,61768.88,160,4.0,10-20%
12,2025-06,90067.2,154,3.0,10-20%
12,2025-07,52352.81,32,4.0,10-20%
12,2025-08,27594.69,112,4.0,10-20%
12,2025-09,22047.15,116,4.0,10-20%
12,2025-11,28977.5,28,2.0,10-20%
12,2026-02,65138.48,84,1.0,10-20%
12,2026-05,67751.21,170,1.0,10-20%
12,2026-06,34235.95,170,1.0,10-20%
12,2026-07,13171.83,193,3.0,10-20%
12,2026-11,75067.3,185,1.0,10-20%
12,2027-03,54811.76,44,1.0,10-20%
12,2027-07,47478.41,37,2.0,10-20%
12,2027-08,6130.09,147,2.0,10-20%
12,2027-10,84001.37,110,2.0,10-20%
12,2027-11,129539.87,270,2.0,10-20%
12,2027-12,36439.09,191,3.0,10-20%
12,2028-02,41382.15,73,3.0,10-20%
12,2028-07,11409.42,61,3.0,10-20%
12,2029-01,57090.85,121,2.0,10-20%
12,2029-08,6522.97,76,3.0,10-20%
12,2030-02,76891.52,132,3.0,10-20%
12,2030-03,97079.24,138,4.0,10-20%
12,2030-08,197713.23,395,2.6666666666666665,10-20%
12,2030-11,28927.34,46,3.0,10-20%
12,2031-01,60727.63,52,4.0,10-20%
12,2031-07,56254.96,87,2.0,10-20%
12,2031-08,72493.05,187,2.0,10-20%
12,2031-09,86237.91,228,3.0,10-20%
12,2031-10,44469.26,76,4.0,10-20%
12,2031-11,18020.79,3,2.0,10-20%
12,2032-03,10847.59,184,1.0,10-20%
12,2032-04,36273.09,83,1.0,10-20%
12,2032-05,90898.74,14,2.0,10-20%
12,2032-06,48765.29,113,3.0,10-20%
12,2032-08,30016.46,137,3.0,10-20%
12,2032-10,81317.86,9,3.0,10-20%
12,2033-02,62590.11,183,4.0,10-20%
12,2033-03,7276.19,69,1.0,10-20%
12,2033-04,112787.2,181,1.0,10-20%
12,2033-06,71288.33,49,2.0,10-20%
12,2034-05,60641.02,47,4.0,10-20%
12,2034-06,7477.02,104,2.0,10-20%
12,2034-07,64513.31,68,3.0,10-20%
12,2035-01,70107.99,168,2.0,10-20%
12,2035-04,47116.97,159,2.5,10-20%
12,2035-05,58638.82,194,3.0,10-20%
12,2035-06,48885.83,17,2.0,10-20%
12,2036-02,71646.7,111,4.0,10-20%
12,2036-05,147128.75,310,1.3333333333333333,10-20%
12,2036-07,8368.83,54,2.0,10-20%
12,2037-04,34934.19,97,1.0,10-20%
12,2037-07,40804.89,43,3.0,10-20%
12,2037-08,39690.41,192,1.0,10-20%
12,2038-01,74355.96,166,2.0,10-20%
12,2038-05,41655.25,1,1.0,10-20%
12,2038-06,46734.25,193,3.0,10-20%
12,2038-08,99215.41,198,3.0,10-20%
12,2038-11,95155.96,97,4.0,10-20%
12,2039-01,30061.28,198,2.0,10-20%
12,2039-04,9473.72,99,2.0,10-20%
12,2039-05,56025.11,75,1.0,10-20%
12,2039-09,34611.06,63,3.0,10-20%
12,2039-11,86782.74,110,1.0,10-20%
12,2040-01,11328.3,15,4.0,10-20%
12,2040-02,23708.85,269,2.0,10-20%
12,2040-08,5561.72,149,2.0,10-20%
12,2041-01,110302.47,223,2.5,10-20%
12,2041-02,24943.51,406,3.0,10-20%
12,2041-03,184190.24,275,2.3333333333333335,10-20%
12,2041-04,14759.85,47,3.0,10-20%
12,2041-09,94154.66,133,2.0,10-20%
12,2042-02,44078.31,34,2.0,10-20%
12,2042-03,54529.45,56,1.0,10-20%
12,2042-04,35953.92,114,4.0,10-20%
12,2042-09,142555.81,182,2.5,10-20%
12,2043-02,17206.06,90,4.0,10-20%
12,2043-04,99424.72,173,1.0,10-20%
12,2043-05,102624.47,134,3.0,10-20%
12,2043-07,85126.77,37,2.0,10-20%
12,2044-03,86474.23,98,3.0,10-20%
12,2044-04,24639.83,188,3.0,10-20%
12,2044-07,41469.28,31,4.0,10-20%
12,2044-09,24694.14,77,3.0,10-20%
12,2044-11,37220.479999999996,198,3.5,10-20%
12,2045-02,64182.05,32,3.0,10-20%
12,2045-03,84587.81,93,4.0,10-20%
12,2045-05,90733.14,161,4.0,10-20%
12,2045-07,169061.56,274,2.0,10-20%
12,2045-10,75499.05,69,2.0,10-20%
12,2045-11,21478.56,6,2.0,10-20%
12,2045-12,82910.87,90,1.0,10-20%
12,2046-04,98895.6,137,1.0,10-20%
12,2046-07,88765.74,44,3.0,10-20%
12,2046-08,73675.02,18,3.0,10-20%
12,2046-12,160455.65,387,1.6666666666666667,10-20%
12,2047-04,26140.15,3,4.0,10-20%
12,2047-07,32564.88,1,3.0,10-20%
12,2047-11,112845.37,252,3.5,10-20%
12,2047-12,65719.2,19,1.0,10-20%
12,2048-01,38004.55,157,1.0,10-20%
12,2048-02,88648.8,195,2.0,10-20%
12,2048-04,46284.93,194,1.0,10-20%
12,2048-08,92297.41,28,4.0,10-20%
12,2049-01,87156.77,179,3.0,10-20%
12,2049-03,59708.08,64,2.0,10-20%
12,2049-06,2201.48,8,4.0,10-20%
12,2049-12,7801.36,57,3.0,10-20%
12,2050-01,94751.2,92,4.0,10-20%
12,2050-02,14064.25,321,4.0,10-20%
12,2050-03,19780.2,174,3.0,10-20%
12,2050-04,176876.41,367,2.6666666666666665,10-20%
13,2023-08,20070.77,79,2.0,10-20%
13,2023-10,182178.33,264,1.6666666666666667,10-20%
13,2023-11,74224.03,178,1.0,10-20%
13,2024-07,59836.19,75,3.0,10-20%
13,2024-08,86686.77,193,2.0,10-20%
13,2024-09,90145.82,114,3.0,10-20%
13,2024-10,12843.8,115,1.0,10-20%
13,2024-11,81027.85,186,2.0,10-20%
13,2025-04,34036.54,133,2.0,10-20%
13,2025-06,25788.7,9,4.0,10-20%
13,2025-12,9240.35,123,4.0,10-20%
13,2026-01,13815.75,166,4.0,10-20%
13,2026-05,41340.11,139,2.0,10-20%
13,2026-06,72690.11,171,1.5,10-20%
13,2026-07,34016.6,159,1.0,10-20%
13,2026-10,103074.26,229,2.5,10-20%
13,2026-11,93405.8,40,3.0,10-20%
13,2026-12,17609.75,67,2.0,10-20%
13,2027-02,65818.26,44,1.0,10-20%
13,2027-08,6713.49,146,4.0,10-20%
13,2027-11,45405.38,166,4.0,10-20%
13,2027-12,34876.56,185,4.0,10-20%
13,2028-01,49058.64,15,4.0,10-20%
13,2028-02,68182.47,197,4.0,10-20%
13,2028-04,4492.68,154,2.0,10-20%
13,2028-08,63126.74,160,3.0,10-20%
13,2028-10,41660.27,22,1.0,10-20%
13,2028-12,87064.71,151,1.0,10-20%
13,2029-01,69695.25,110,2.0,10-20%
13,2029-02,35543.44,72,4.0,10-20%
13,2029-04,88444.11,2,3.0,10-20%
13,2029-05,13995.81,92,4.0,10-20%
13,2029-06,77718.8,106,2.0,10-20%
13,2029-08,36300.36,113,4.0,10-20%
13,2029-11,76772.87,7,4.0,10-20%
13,2030-01,79548.0,125,4.0,10-20%
13,2030-03,61549.18,153,1.0,10-20%
13,2030-06,67521.79,85,4.0,10-20%
13,2030-08,85176.23,67,3.0,10-20%
13,2030-09,86042.95,33,4.0,10-20%
13,2030-11,24133.28,97,4.0,10-20%
13,2031-03,82301.84,101,2.0,10-20%
13,2031-04,2389.5,116,4.0,10-20%
13,2031-06,97099.75,97,2.0,10-20%
13,2031-09,52738.69,22,2.0,10-20%
13,2031-10,69845.04,55,2.0,10-20%
13,2031-12,136905.5,280,2.0,10-20%
13,2032-02,54940.78,147,3.0,10-20%
13,2032-04,54211.53,93,4.0,10-20%
13,2032-06,87056.99,26,4.0,10-20%
13,2032-08,58416.87,67,4.0,10-20%
13,2032-11,27053.17,111,2.0,10-20%
13,2032-12,50220.76,76,4.0,10-20%
13,2033-01,20168.03,55,2.0,10-20%
13,2033-05,7213.03,127,2.0,10-20%
13,2033-08,75861.16,157,2.0,10-20%
13,2034-03,4559.11,189,4.0,10-20%
13,2034-07,4293.18,60,2.0,10-20%
13,2034-08,38661.93,183,2.0,10-20%
13,2034-11,49853.18,118,2.0,10-20%
13,2034-12,8114.09,138,2.0,10-20%
13,2035-02,79569.62,79,2.0,10-20%
13,2035-03,47539.61,100,2.0,10-20%
13,2035-05,62037.55,53,1.0,10-20%
13,2035-10,87722.98,52,3.0,10-20%
13,2036-01,34433.37,158,1.0,10-20%
13,2036-02,22905.91,131,4.0,10-20%
13,2036-03,85303.4,198,2.0,10-20%
13,2036-04,62801.18,37,4.0,10-20%
13,2036-05,45516.67,23,3.0,10-20%
13,2036-06,61724.69,164,1.0,10-20%
13,2036-08,87812.57,162,2.0,10-20%
13,2036-09,34647.37,35,2.0,10-20%
13,2036-11,69783.9,29,2.5,10-20%
13,2037-03,37102.01,155,4.0,10-20%
13,2037-05,147707.97999999998,192,1.0,10-20%
13,2037-07,53042.88,24,1.0,10-20%
13,2037-08,89307.12,169,2.0,10-20%
13,2037-10,15264.15,65,1.0,10-20%
13,2038-02,74068.81,62,2.0,10-20%
13,2038-03,82177.81,310,3.0,10-20%
13,2038-04,23417.44,51,4.0,10-20%
13,2038-06,47357.97,8,1.0,10-20%
13,2038-10,155998.87,218,3.5,10-20%
13,2039-02,20394.01,63,4.0,10-20%
13,2039-07,59329.44,357,2.5,10-20%
13,2039-11,6440.66,179,4.0,10-20%
13,2040-02,16518.79,159,2.0,10-20%
13,2040-03,14201.2,161,3.0,10-20%
13,2040-07,95242.4,59,4.0,10-20%
13,2040-09,70029.51,143,1.0,10-20%
13,2041-02,67137.4,12,2.0,10-20%
13,2041-05,11011.52,151,4.0,10-20%
13,2041-11,44128.62,184,4.0,10-20%
13,2041-12,23871.32,42,3.0,10-20%
13,2042-03,93764.23,137,3.0,10-20%
13,2042-07,240055.38,571,2.25,10-20%
13,2042-08,24782.67,20,3.0,10-20%
13,2042-09,49723.53,106,1.0,10-20%
13,2042-10,97799.32,64,1.0,10-20%
13,2042-11,48328.87,188,3.0,10-20%
13,2043-04,114766.98,230,1.6666666666666667,10-20%
13,2043-05,100477.79000000001,87,3.0,10-20%
13,2043-06,118487.55,311,3.0,10-20%
13,2043-07,94657.47,10,2.0,10-20%
13,2043-08,99958.93,107,4.0,10-20%
13,2043-09,84569.56,182,4.0,10-20%
13,2043-11,20563.41,14,2.0,10-20%
13,2044-01,131262.58,94,2.6666666666666665,10-20%
13,2044-02,117015.70000000001,304,3.0,10-20%
13,2044-05,50461.56,102,1.0,10-20%
13,2044-06,8108.45,149,3.0,10-20%
13,2044-10,34842.69,106,1.0,10-20%
13,2044-11,176195.26,209,2.5,10-20%
13,2044-12,145079.7,140,2.0,10-20%
13,2045-01,94713.57999999999,237,3.0,10-20%
13,2045-02,93680.09,8,2.0,10-20%
13,2045-04,41456.94,35,1.0,10-20%
13,2046-01,116443.65,128,3.0,10-20%
13,2046-04,13564.02,17,2.0,10-20%
13,2046-05,122069.19,267,1.5,10-20%
13,2046-11,93153.76,142,4.0,10-20%
13,2047-08,50248.58,120,2.0,10-20%
13,2047-11,34766.94,161,2.0,10-20%
13,2048-02,1828.14,77,2.0,10-20%
13,2048-04,5174.28,70,3.0,10-20%
13,2048-05,35090.34,145,3.0,10-20%
13,2048-07,49792.17,198,4.0,10-20%
13,2048-12,98539.33,140,2.0,10-20%
13,2049-04,10429.57,152,3.0,10-20%
13,2049-05,46159.27,141,3.0,10-20%
13,2049-07,25180.95,186,1.0,10-20%
13,2049-08,3480.3,135,3.0,10-20%
13,2050-01,28021.4,86,3.0,10-20%
13,2050-02,64379.84,137,1.0,10-20%
13,2050-05,66374.23,53,3.0,10-20%
14,2023-03,68894.18,77,4.0,10-20%
14,2023-05,45871.16,37,4.0,10-20%
14,2023-07,16117.96,39,2.0,10-20%
14,2023-10,70841.75,20,3.0,10-20%
14,2023-11,59569.07,127,2.0,10-20%
14,2024-03,33234.240000000005,276,3.5,10-20%
14,2024-05,38968.2,151,2.0,10-20%
14,2024-07,15581.58,164,1.0,10-20%
14,2025-01,29792.06,191,3.0,10-20%
14,2025-04,72821.1,119,1.0,10-20%
14,2025-06,89833.04,175,2.5,10-20%
14,2025-07,49816.84,5,2.0,10-20%
14,2025-08,174356.0,237,3.5,10-20%
14,2025-09,93685.15,191,3.0,10-20%
14,2025-10,62003.15,141,1.0,10-20%
14,2025-12,32660.68,112,3.0,10-20%
14,2026-02,3103.19,131,4.0,10-20%
14,2026-03,181761.59999999998,267,2.5,10-20%
14,2026-04,44087.8,68,2.0,10-20%
14,2026-05,12917.68,22,3.0,10-20%
14,2026-06,166908.0,180,3.5,10-20%
14,2026-12,73399.71,4,2.0,10-20%
14,2027-03,43888.94,342,4.0,10-20%
14,2027-04,19364.37,99,2.0,10-20%
14,2027-05,54081.83,35,3.0,10-20%
14,2027-07,27067.89,136,2.0,10-20%
14,2027-08,16010.83,77,4.0,10-20%
14,2027-09,38007.6,77,2.0,10-20%
14,2027-11,36045.2,129,2.0,10-20%
14,2028-04,74883.86,84,3.0,10-20%
14,2028-09,73547.68,1,2.0,10-20%
14,2029-02,69745.84,120,3.0,10-20%
14,2029-03,76047.8,95,4.0,10-20%
14,2029-08,60528.73,175,2.0,10-20%
14,2030-01,72015.97,128,4.0,10-20%
14,2030-02,31011.49,146,4.0,10-20%
14,2030-05,56297.34,89,2.0,10-20%
14,2030-06,58487.73,218,2.0,10-20%
14,2030-10,163192.34999999998,318,2.5,10-20%
14,2030-12,50491.97,172,2.0,10-20%
14,2031-01,17037.25,139,4.0,10-20%
14,2031-02,94311.17,190,4.0,10-20%
14,2031-03,68378.99,79,3.0,10-20%
14,2031-06,136292.95,225,3.0,10-20%
14,2031-07,78407.65,74,4.0,10-20%
14,2031-11,28570.88,103,3.0,10-20%
14,2031-12,2497.74,132,1.0,10-20%
14,2032-01,40207.49,74,1.0,10-20%
14,2032-06,74872.6,41,4.0,10-20%
14,2033-02,83190.93,166,2.0,10-20%
14,2033-03,219199.76,428,2.6666666666666665,10-20%
14,2033-11,181992.63,173,3.0,10-20%
14,2034-01,71844.81,79,4.0,10-20%
14,2034-03,49531.65,44,1.0,10-20%
14,2034-04,106462.19,161,3.0,10-20%
14,2034-05,64291.09,127,2.0,10-20%
14,2034-06,92782.05,63,2.0,10-20%
14,2034-09,73390.17,11,2.0,10-20%
14,2035-02,127549.26999999999,188,1.5,10-20%
14,2035-03,38157.7,155,3.0,10-20%
14,2035-08,5398.82,25,4.0,10-20%
14,2035-12,134005.5,207,2.5,10-20%
14,2036-02,9467.05,176,2.0,10-20%
14,2036-03,53948.23,66,2.0,10-20%
14,2036-05,51383.01,124,4.0,10-20%
14,2036-07,47816.04,303,2.5,10-20%
14,2036-08,54631.5,78,3.0,10-20%
14,2036-09,16419.33,137,2.0,10-20%
14,2037-01,76657.16,247,2.5,10-20%
14,2037-04,80473.3,126,1.0,10-20%
14,2037-07,86784.2,128,3.0,10-20%
14,2037-08,37563.18,106,1.0,10-20%
14,2038-04,43452.79,7,4.0,10-20%
14,2038-05,47783.82000000001,67,2.0,10-20%
14,2038-07,7208.47,133,1.0,10-20%
14,2038-08,104455.83,268,2.0,10-20%
14,2038-09,70755.79,41,4.0,10-20%
14,2038-10,45933.75,217,3.0,10-20%
14,2038-11,32089.91,29,2.0,10-20%
14,2038-12,121989.72,309,1.0,10-20%
14,2039-01,18042.47,22,4.0,10-20%
14,2039-02,49965.22,144,4.0,10-20%
14,2039-04,5668.18,53,2.0,10-20%
14,2039-07,53492.18,182,2.5,10-20%
14,2039-08,77944.26000000001,331,1.5,10-20%
14,2039-09,85659.03,134,4.0,10-20%
14,2039-11,63266.97,187,4.0,10-20%
14,2040-02,130445.84,145,2.5,10-20%
14,2040-04,18147.99,32,3.0,10-20%
14,2040-12,162296.84,480,2.5,10-20%
14,2041-02,99043.73,135,1.0,10-20%
14,2041-03,96698.42,222,1.0,10-20%
14,2041-04,94864.17,185,3.0,10-20%
14,2041-06,86555.43,42,3.0,10-20%
14,2041-08,21573.72,52,2.0,10-20%
14,2042-02,89953.19,112,1.0,10-20%
14,2042-03,120129.0,286,2.5,10-20%
14,2042-05,9601.83,18,3.0,10-20%
14,2042-07,67972.54,40,3.0,10-20%
14,2042-10,79418.13,94,3.0,10-20%
