Bundle_Category,Bundle_ID,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund
Basic,BNDL_1ASUHF,93006.52,104,4.0
Basic,BNDL_1BHJO3,37139.3,19,4.0
Basic,BNDL_1BZX7Q,12126.72,173,2.0
Basic,BNDL_1CSY2S,76760.49,1,2.0
Basic,BNDL_1D45I0,90553.83,104,1.0
Basic,BNDL_1D4H2I,37785.42,38,3.0
Basic,BNDL_1D78G9,57680.38,144,1.0
Basic,BNDL_1DCYLL,31820.05,93,1.0
Basic,BNDL_1DDR2Z,69827.25,126,3.0
Basic,BNDL_1DYCHP,17851.05,152,4.0
Basic,BNDL_1E3SR5,85246.63,123,3.0
Basic,BNDL_1EHSHG,73041.29,135,1.0
Basic,BNDL_1EQHNC,8814.52,16,4.0
Basic,BNDL_1FJFV4,15025.06,56,4.0
Basic,BNDL_1FJYKK,28425.4,188,4.0
Basic,BNDL_1FVOK0,58132.44,14,1.0
Basic,BNDL_1FWGJK,54068.85,40,4.0
Basic,BNDL_1GEQ0V,2014.12,150,1.0
Basic,BNDL_1GZ1O3,87276.56,150,3.0
Basic,BNDL_1HWN42,4283.88,95,1.0
Basic,BNDL_1I07R5,99868.86,107,3.0
Basic,BNDL_1IOLH9,79548.0,125,4.0
Basic,BNDL_1IP5P6,47327.23,4,1.0
Basic,BNDL_1IUYOK,67235.58,32,1.0
Basic,BNDL_1J2AJS,15276.03,112,1.0
Basic,BNDL_1K0F3X,61724.69,164,1.0
Basic,BNDL_1K86UJ,22096.3,71,3.0
Basic,BNDL_1KOQOB,72422.35,44,2.0
Basic,BNDL_1KW845,34709.97,162,3.0
Basic,BNDL_1KZ7PM,30853.47,170,3.0
Basic,BNDL_1L9CR3,64194.44,122,2.0
Basic,BNDL_1M8F47,1548.4,141,1.0
Basic,BNDL_1NF8DM,68984.27,38,3.0
Basic,BNDL_1NGKGE,75725.59,199,4.0
Basic,BNDL_1NIIYU,68337.41,107,4.0
Basic,BNDL_1P02KE,16362.0,142,4.0
Basic,BNDL_1PQPEZ,26683.48,179,3.0
Basic,BNDL_1QCYJ7,69462.45,47,3.0
Basic,BNDL_1QQUXJ,35125.38,65,4.0
Basic,BNDL_1QVQY9,70511.19,117,3.0
Basic,BNDL_1QYPBI,13625.99,101,4.0
Basic,BNDL_1R4SYT,14113.45,95,4.0
Basic,BNDL_1RG9OV,59782.83,56,2.0
Basic,BNDL_1RZA73,43298.7,175,2.0
Basic,BNDL_1SVPU1,78200.05,79,2.0
Basic,BNDL_1SYLSL,63453.85,80,4.0
Basic,BNDL_1T3UQG,89056.56,199,1.0
Basic,BNDL_1TBDQ2,96525.15,71,3.0
Basic,BNDL_1TI610,61862.58,73,1.0
Basic,BNDL_1TY80X,40405.78,125,4.0
Basic,BNDL_1U20JT,96197.83,176,4.0
Basic,BNDL_1UEVX5,13805.86,188,2.0
Basic,BNDL_1UJNPA,31476.08,74,3.0
Basic,BNDL_1URAO2,67733.24,98,4.0
Basic,BNDL_1UV3NN,44973.14,30,3.0
Basic,BNDL_1VUVSI,10825.52,11,1.0
Basic,BNDL_1W7KP8,77980.95,116,3.0
Basic,BNDL_1WOZR9,89782.77,28,1.0
Basic,BNDL_1X0MIQ,13842.28,81,1.0
Basic,BNDL_1X2I7S,39511.92,172,2.0
Basic,BNDL_1XDY4X,83762.91,68,4.0
Basic,BNDL_1XZBMA,34067.19,194,4.0
Basic,BNDL_1Y7A98,39243.27,150,4.0
Basic,BNDL_1YJX2A,42422.73,113,2.0
Basic,BNDL_1YPE74,59133.26,54,3.0
Basic,BNDL_1YR5Z1,77004.11,7,4.0
Basic,BNDL_1ZBIZ9,88239.27,51,2.0
Basic,BNDL_201LU0,48062.78,196,4.0
Basic,BNDL_21JGCM,1418.72,173,3.0
Basic,BNDL_21MHL4,62475.7,13,2.0
Basic,BNDL_21QDZK,67933.0,141,3.0
Basic,BNDL_21QYMM,81490.44,171,4.0
Basic,BNDL_229UB6,34142.03,67,3.0
Basic,BNDL_22FAZM,85176.23,67,3.0
Basic,BNDL_22SASY,55530.58,29,4.0
Basic,BNDL_23AD8M,14979.61,9,4.0
Basic,BNDL_23RPSA,2482.12,40,1.0
Basic,BNDL_23W0HJ,48810.68,176,1.0
Basic,BNDL_2405HF,93046.27,197,1.0
Basic,BNDL_24T40A,14696.29,54,3.0
Basic,BNDL_24V53O,52295.2,189,2.0
Basic,BNDL_253QT4,20055.06,98,3.0
Basic,BNDL_25O1EP,31911.55,112,4.0
Basic,BNDL_25TCGM,34665.29,10,3.0
Basic,BNDL_27DTJ2,98427.23,126,1.0
Basic,BNDL_27M71C,4235.47,129,3.0
Basic,BNDL_27MZC6,79743.86,118,1.0
Basic,BNDL_27NE4X,90067.2,154,3.0
Basic,BNDL_28HL72,16850.65,146,4.0
Basic,BNDL_28OBRT,41533.71,136,3.0
Basic,BNDL_29039H,52294.8,71,1.0
Basic,BNDL_29B8BJ,17619.59,119,3.0
Basic,BNDL_29NP12,58034.78,190,4.0
Basic,BNDL_29QPKL,46800.55,124,2.0
Basic,BNDL_2A1WMI,30888.11,84,2.0
Basic,BNDL_2A9F05,36865.46,73,4.0
Basic,BNDL_2AM8LH,65792.3,88,2.0
Basic,BNDL_2ANTSD,25406.52,113,1.0
Basic,BNDL_2AQ9N9,65519.14,180,4.0
Basic,BNDL_2B1616,17186.94,118,3.0
Basic,BNDL_2BDTC2,77869.67,129,3.0
Basic,BNDL_2CCLN2,77279.36,98,2.0
Basic,BNDL_2CN4VE,39103.81,102,2.0
Basic,BNDL_2CQEE7,21797.05,182,4.0
Basic,BNDL_2D00P6,2016.98,16,3.0
Basic,BNDL_2D9HQL,98159.08,128,4.0
Basic,BNDL_2DC6CJ,21329.39,53,4.0
Basic,BNDL_2DNCIP,60570.58,97,2.0
Basic,BNDL_2E0PNI,40150.34,170,1.0
Basic,BNDL_2FUC1J,61506.93,60,3.0
Basic,BNDL_2HEOPK,98655.23,148,3.0
Basic,BNDL_2HXKF6,34900.67,147,1.0
Basic,BNDL_2I94ID,35112.74,62,3.0
Basic,BNDL_2JRF8B,71348.44,141,4.0
Basic,BNDL_2K7L4U,49241.08,65,4.0
Basic,BNDL_2KC60Z,73918.77,101,4.0
Basic,BNDL_2KIAOD,64735.7,190,3.0
Basic,BNDL_2KIGN1,7502.85,68,3.0
Basic,BNDL_2LK7JM,90395.09,168,1.0
Basic,BNDL_2M0KFD,70919.49,137,3.0
Basic,BNDL_2N9U9R,49157.56,133,1.0
Basic,BNDL_2NOQB3,45706.41,174,2.0
Basic,BNDL_2OGQU9,15030.45,99,2.0
Basic,BNDL_2OKVUQ,86262.7,109,4.0
Basic,BNDL_2ONIDE,3242.5,175,1.0
Basic,BNDL_2OXE54,92782.05,63,2.0
Basic,BNDL_2PAUKV,2201.48,8,4.0
Basic,BNDL_2PGCX1,69695.15,74,3.0
Basic,BNDL_2PHVNX,16283.06,141,4.0
Basic,BNDL_2QNQLZ,54047.97,58,1.0
Basic,BNDL_2QSIIV,26041.03,189,2.0
Basic,BNDL_2R0JJ7,6307.59,197,2.0
Basic,BNDL_2R63VI,65382.13,54,1.0
Basic,BNDL_2RXMVP,64145.87,139,4.0
Basic,BNDL_2S9Y1K,67453.25,1,4.0
Basic,BNDL_2SI9S4,12751.9,48,4.0
Basic,BNDL_2SO50Q,94604.52,86,4.0
Basic,BNDL_2TPGFZ,23785.29,126,4.0
Basic,BNDL_2TQ3HG,56338.11,82,1.0
Basic,BNDL_2UGMVE,81222.42,70,2.0
Basic,BNDL_2V4RRR,87976.47,196,4.0
Basic,BNDL_2VBLFO,25335.17,69,4.0
Basic,BNDL_2VMMJP,98310.53,156,2.0
Basic,BNDL_2VQNAL,50476.96,137,4.0
Basic,BNDL_2VY61H,51628.37,101,4.0
Basic,BNDL_2W14HP,52046.73,35,2.0
Basic,BNDL_2W7C3T,87974.64,32,1.0
Basic,BNDL_2W8V90,27878.11,93,1.0
Basic,BNDL_2WKWEX,97866.19,55,4.0
Basic,BNDL_2X5NR7,13347.56,93,1.0
Basic,BNDL_2X8KTF,96210.97,94,3.0
Basic,BNDL_2XOOUY,77313.21,96,4.0
Basic,BNDL_2YTW3L,3027.85,180,4.0
Basic,BNDL_2YW9OO,91611.67,159,3.0
Basic,BNDL_2YXKE3,84513.19,4,4.0
Basic,BNDL_2Z6WTK,38512.42,75,4.0
Basic,BNDL_2ZY8P3,57763.73,71,4.0
Basic,BNDL_2ZZWBV,25709.02,165,3.0
Basic,BNDL_30DPN9,5143.07,193,2.0
Basic,BNDL_30KCFP,46045.68,74,2.0
Basic,BNDL_30VE83,22520.86,125,1.0
Basic,BNDL_3109J3,45076.75,114,3.0
Basic,BNDL_312RGF,44728.14,120,1.0
Basic,BNDL_31530T,97345.38,108,1.0
Basic,BNDL_31DIZZ,18114.41,44,1.0
Basic,BNDL_31L74M,7040.47,112,2.0
Basic,BNDL_327N0H,36786.03,100,1.0
Basic,BNDL_32B9V5,34415.59,134,2.0
Basic,BNDL_32P4IH,28388.21,114,4.0
Basic,BNDL_3337V8,83618.87,25,3.0
Basic,BNDL_33DNBT,5065.6,3,3.0
Basic,BNDL_33JFSO,30422.24,150,2.0
Basic,BNDL_33QWM1,3527.97,177,1.0
Basic,BNDL_33ZI2O,97629.81,14,4.0
Basic,BNDL_347SHP,28380.08,177,4.0
Basic,BNDL_34KRUG,62189.02,86,4.0
Basic,BNDL_354DFG,24151.67,36,2.0
Basic,BNDL_359T66,16976.2,121,1.0
Basic,BNDL_35P21Z,6931.97,31,1.0
Basic,BNDL_362LYT,85967.5,82,1.0
Basic,BNDL_37MYDR,89761.36,182,2.0
Basic,BNDL_38DQ22,14026.04,123,2.0
Basic,BNDL_38KKW6,79949.2,18,1.0
Basic,BNDL_39DDQX,59516.51,151,3.0
Basic,BNDL_3A2MT0,94301.41,139,3.0
Basic,BNDL_3AP023,51274.58,57,4.0
Basic,BNDL_3BNZ5E,86930.06,176,1.0
Basic,BNDL_3CCQ8E,9132.34,84,4.0
Basic,BNDL_3CSZOF,59935.85,157,3.0
Basic,BNDL_3CXBL2,70164.14,21,1.0
Basic,BNDL_3D3GUJ,16006.44,160,3.0
Basic,BNDL_3DBO0L,12030.96,5,2.0
Basic,BNDL_3DH9UA,38536.95,102,1.0
Basic,BNDL_3DTSSG,5826.6,155,3.0
Basic,BNDL_3EI4HE,20257.87,32,4.0
Basic,BNDL_3EIU3K,29138.7,70,2.0
Basic,BNDL_3F01BL,7510.64,72,3.0
Basic,BNDL_3FEOM4,14275.13,164,2.0
Basic,BNDL_3FIT0P,31108.09,39,1.0
Basic,BNDL_3FPN6S,9906.55,99,3.0
Basic,BNDL_3FWFTX,55927.97,4,4.0
Basic,BNDL_3GFLU9,48219.01,4,3.0
Basic,BNDL_3GUTNI,61584.48,154,1.0
Basic,BNDL_3GWMTC,95070.4,20,2.0
Basic,BNDL_3H6S31,86507.35,47,1.0
Basic,BNDL_3H8TBM,6273.97,182,3.0
Basic,BNDL_3HOY3S,41133.98,70,1.0
Basic,BNDL_3HVYT8,89074.29,175,1.0
Basic,BNDL_3I3X0F,93968.7,69,2.0
Basic,BNDL_3I6XGJ,49296.77,192,2.0
Basic,BNDL_3I6YKQ,28968.36,179,4.0
Basic,BNDL_3IFB5U,44746.19,127,4.0
Basic,BNDL_3ILTN8,58976.47,25,1.0
Basic,BNDL_3IPW9A,93962.12,29,2.0
Basic,BNDL_3IQIKT,37184.85,37,1.0
Basic,BNDL_3IVTE7,28942.93,20,1.0
Basic,BNDL_3JDB8X,95732.24,132,1.0
Basic,BNDL_3K783Q,15066.34,44,2.0
Basic,BNDL_3KDFU7,5252.19,21,2.0
Basic,BNDL_3KF4ME,24162.02,114,2.0
Basic,BNDL_3KKXZP,24571.91,95,1.0
Basic,BNDL_3KQPSC,23073.51,34,1.0
Basic,BNDL_3KQY0H,93028.47,13,1.0
Basic,BNDL_3LS4QS,61373.84,97,2.0
Basic,BNDL_3LUI3U,46415.13,178,2.0
Basic,BNDL_3LUORF,53029.23,106,4.0
Basic,BNDL_3M775Q,4841.81,22,4.0
Basic,BNDL_3MA8MC,12960.87,111,2.0
Basic,BNDL_3MK45C,56674.0,164,3.0
Basic,BNDL_3NCYFV,56529.86,176,3.0
Basic,BNDL_3NF0NH,98608.81,58,4.0
Basic,BNDL_3NM4CI,99995.06,53,2.0
Basic,BNDL_3O4TDU,10657.02,162,4.0
Basic,BNDL_3O8OZV,36101.84,110,2.0
Basic,BNDL_3OAT99,66069.89,65,4.0
Basic,BNDL_3OYOO5,5203.6,135,3.0
Basic,BNDL_3P4YIZ,39423.31,22,4.0
Basic,BNDL_3PD4Q2,9473.72,99,2.0
Basic,BNDL_3PUJ7I,96265.03,78,2.0
Basic,BNDL_3QXRRL,44270.55,31,3.0
Basic,BNDL_3R0Y9T,7426.37,152,4.0
Basic,BNDL_3R3CYJ,63615.56,191,3.0
Basic,BNDL_3RA4G1,94316.74,23,3.0
Basic,BNDL_3RSZ5B,51119.94,67,3.0
Basic,BNDL_3RWEPK,15968.04,160,4.0
Basic,BNDL_3RY67M,36668.28,97,3.0
Basic,BNDL_3SJ8GV,91226.62,10,4.0
Basic,BNDL_3SKG3J,2563.34,67,2.0
Basic,BNDL_3SL804,5997.94,184,1.0
Basic,BNDL_3U9QTX,25110.38,113,2.0
Basic,BNDL_3UBZ8L,53057.31,100,2.0
Basic,BNDL_3V6GM2,40775.8,69,4.0
Basic,BNDL_3VNBVC,71253.16,146,4.0
Basic,BNDL_3VXPVJ,12548.44,104,1.0
Basic,BNDL_3W4NNY,21536.02,38,3.0
Basic,BNDL_3X5YUI,39531.43,159,1.0
Basic,BNDL_3XK8WK,7604.78,87,3.0
Basic,BNDL_3Y5JHU,48611.31,110,3.0
Basic,BNDL_3Y974G,77259.48,151,4.0
Basic,BNDL_3YBCQ2,47867.55,61,1.0
Basic,BNDL_3YOGL4,22591.75,86,1.0
Basic,BNDL_3YPMZM,16433.15,50,4.0
Basic,BNDL_3YY9OZ,25463.47,113,4.0
Basic,BNDL_3ZXJ4E,55095.67,128,4.0
Basic,BNDL_3ZZC9P,60655.5,15,3.0
Basic,BNDL_40CQKS,48772.45,7,4.0
Basic,BNDL_40MKQI,14048.8,121,4.0
Basic,BNDL_40RTJR,37592.65,73,3.0
Basic,BNDL_42NZTR,52028.01,169,3.0
Basic,BNDL_442Q2G,3318.99,50,2.0
Basic,BNDL_44EGW3,57902.42,13,4.0
Basic,BNDL_44N0MB,80459.16,108,2.0
Basic,BNDL_44OXF5,19150.94,165,4.0
Basic,BNDL_44TAN4,34675.17,194,2.0
Basic,BNDL_452W5Z,94359.09,71,1.0
Basic,BNDL_458020,59439.25,140,3.0
Basic,BNDL_45U5OQ,5696.61,12,3.0
Basic,BNDL_462I6B,53555.02,68,3.0
Basic,BNDL_46LNDI,49184.12,65,2.0
Basic,BNDL_47NFE1,22308.65,198,4.0
Basic,BNDL_47U9C6,30155.39,84,2.0
Basic,BNDL_47Z9CJ,14906.23,91,4.0
Basic,BNDL_47ZPU8,22268.99,95,3.0
Basic,BNDL_48KKUY,89265.17,161,3.0
Basic,BNDL_48S4EN,58440.83,151,2.0
Basic,BNDL_492DMY,4831.83,70,3.0
Basic,BNDL_4A3L6R,20782.28,131,4.0
Basic,BNDL_4A5UEC,96067.89,97,2.0
Basic,BNDL_4ABMR0,96527.72,154,1.0
Basic,BNDL_4BWP4Z,98045.3,99,2.0
Basic,BNDL_4C07KZ,23040.55,53,3.0
Basic,BNDL_4CH9AG,43366.4,52,2.0
Basic,BNDL_4CQK8P,19283.08,145,3.0
Basic,BNDL_4CXY7I,89074.5,120,2.0
Basic,BNDL_4DB2EZ,51510.71,15,4.0
Basic,BNDL_4DD3JU,7376.72,54,3.0
Basic,BNDL_4DJRGH,71007.62,52,2.0
Basic,BNDL_4E266I,8161.04,149,1.0
Basic,BNDL_4E9JRG,59347.53,48,3.0
Basic,BNDL_4EJMTE,58994.93,91,4.0
Basic,BNDL_4EPPS3,46426.93,177,3.0
Basic,BNDL_4GEDUC,39569.69,74,2.0
Basic,BNDL_4GW1GN,64953.04,120,4.0
Basic,BNDL_4H1J8D,61386.65,168,2.0
Basic,BNDL_4HAA87,68852.15,104,2.0
Basic,BNDL_4HTQCY,21994.89,69,1.0
Basic,BNDL_4ICNVI,9556.05,90,1.0
Basic,BNDL_4JZFBW,53705.01,116,3.0
Basic,BNDL_4L6UKD,70332.12,105,1.0
Basic,BNDL_4L8BX6,43223.5,118,1.0
Basic,BNDL_4LAGWS,84129.26,42,2.0
Basic,BNDL_4LEC9E,74904.96,25,4.0
Basic,BNDL_4LEWL5,13894.55,86,1.0
Basic,BNDL_4LONM3,93466.17,90,4.0
Basic,BNDL_4LY6KN,46323.21,151,2.0
Basic,BNDL_4M2HRK,18860.71,93,1.0
Basic,BNDL_4MCAPE,50058.59,77,1.0
Basic,BNDL_4MR2T2,7542.12,92,1.0
Basic,BNDL_4MVF2C,68571.43,167,4.0
Basic,BNDL_4N04OA,89863.59,11,4.0
Basic,BNDL_4O5EMV,89111.56,111,1.0
Basic,BNDL_4OIIZC,69526.86,69,2.0
Basic,BNDL_4OJPUK,75351.96,137,1.0
Basic,BNDL_4OWXC3,40112.28,116,3.0
Basic,BNDL_4P6KU8,79113.19,129,3.0
Basic,BNDL_4P7KLK,90013.88,24,2.0
Basic,BNDL_4P9SQE,34016.6,159,1.0
Basic,BNDL_4PLQRH,41599.97,153,1.0
Basic,BNDL_4PLREM,25211.86,60,1.0
Basic,BNDL_4PRZP0,43287.64,173,1.0
Basic,BNDL_4PTGAM,13565.41,124,2.0
Basic,BNDL_4PWSZ9,64030.43,68,4.0
Basic,BNDL_4PZDPK,34951.67,1,4.0
Basic,BNDL_4QS3GU,40624.31,154,4.0
Basic,BNDL_4RFAK7,64076.09,195,3.0
Basic,BNDL_4RM38R,23798.86,110,3.0
Basic,BNDL_4RMG19,77718.8,106,2.0
Basic,BNDL_4RO2YC,56593.97,118,4.0
Basic,BNDL_4SGV77,26056.54,97,4.0
Basic,BNDL_4SLZWW,19893.52,147,2.0
Basic,BNDL_4TYFTQ,32089.91,29,2.0
Basic,BNDL_4UG5M3,40675.1,110,1.0
Basic,BNDL_4UNUDP,15358.0,141,4.0
Basic,BNDL_4VBHR1,4236.32,142,1.0
Basic,BNDL_4VM0FY,79330.66,185,3.0
Basic,BNDL_4VZ070,67473.89,195,2.0
Basic,BNDL_4W4FRQ,49436.43,29,3.0
Basic,BNDL_4WS36B,74697.46,186,2.0
Basic,BNDL_4WXJ2G,20466.4,80,3.0
Basic,BNDL_4X94IU,35664.4,147,3.0
Basic,BNDL_4X97BH,48310.26,148,1.0
Basic,BNDL_4Y4O53,41958.16,151,3.0
Basic,BNDL_4Y72LF,15064.52,56,4.0
Basic,BNDL_4YEC8D,59910.17,109,3.0
Basic,BNDL_4YRLVV,95782.71,99,4.0
Basic,BNDL_4YYIL5,56120.02,179,1.0
Basic,BNDL_4Z1EI0,73334.1,75,4.0
Basic,BNDL_4ZOFLB,42055.99,194,4.0
Basic,BNDL_4ZPM5S,63722.19,39,1.0
Basic,BNDL_4ZXSZP,79489.89,154,3.0
Basic,BNDL_50EZ5E,72993.29,44,2.0
Basic,BNDL_51JIQ4,9216.93,92,1.0
Basic,BNDL_52CSTA,68692.13,119,4.0
Basic,BNDL_52NC8S,21270.81,60,2.0
Basic,BNDL_52XKKA,11398.56,64,3.0
Basic,BNDL_535LS0,57870.9,75,2.0
Basic,BNDL_53CVL2,40312.94,190,2.0
Basic,BNDL_54M44Z,35962.16,53,2.0
Basic,BNDL_55NQWZ,83638.72,173,4.0
Basic,BNDL_55PO32,88697.36,29,4.0
Basic,BNDL_55WKW4,60892.57,160,2.0
Basic,BNDL_56A8F3,8752.62,136,4.0
Basic,BNDL_56K3MU,54147.38,140,1.0
Basic,BNDL_57426C,70114.27,36,4.0
Basic,BNDL_57IDZ6,40271.0,111,2.0
Basic,BNDL_58AZUJ,64054.46,134,2.0
Basic,BNDL_59G0SW,28074.63,128,3.0
Basic,BNDL_59N0I0,77991.67,49,2.0
Basic,BNDL_5A5P3D,3330.42,43,2.0
Basic,BNDL_5APJ7I,89545.48,110,4.0
Basic,BNDL_5BSPB2,61199.36,88,3.0
Basic,BNDL_5BZTRN,61305.77,70,3.0
Basic,BNDL_5C4Y00,81418.97,127,4.0
Basic,BNDL_5C6YKH,7923.86,47,2.0
Basic,BNDL_5CBTK8,29515.56,78,3.0
Basic,BNDL_5D614L,41603.15,185,1.0
Basic,BNDL_5DTYQ7,30079.17,105,2.0
Basic,BNDL_5EODOG,86441.28,110,1.0
Basic,BNDL_5F5G5H,53934.6,192,4.0
Basic,BNDL_5GKF3H,53763.51,180,2.0
Basic,BNDL_5HSU5D,96417.73,184,1.0
Basic,BNDL_5HTK7I,94067.01,178,2.0
Basic,BNDL_5IA2PV,7972.85,54,2.0
Basic,BNDL_5IHIT1,38611.3,75,2.0
Basic,BNDL_5IV96M,30616.33,100,4.0
Basic,BNDL_5IX4OU,11579.79,111,4.0
Basic,BNDL_5J4K9B,33622.78,86,4.0
Basic,BNDL_5JVUW4,47347.43,170,2.0
Basic,BNDL_5KLPWC,12607.41,121,2.0
Basic,BNDL_5M96A3,76200.85,173,3.0
Basic,BNDL_5MEXPT,96063.5,109,2.0
Basic,BNDL_5MLCVF,78834.4,59,1.0
Basic,BNDL_5MRD05,62497.88,181,1.0
Basic,BNDL_5MXBVK,79765.34,105,1.0
Basic,BNDL_5N4EPS,10673.92,78,2.0
Basic,BNDL_5N7JJU,57254.93,171,1.0
Basic,BNDL_5NR8M6,73043.52,31,4.0
Basic,BNDL_5O22VF,68301.88,92,1.0
Basic,BNDL_5O77KS,82314.05,149,4.0
Basic,BNDL_5OBUDP,56940.17,102,1.0
Basic,BNDL_5OFAIJ,35971.5,89,4.0
Basic,BNDL_5OI97Z,11198.47,116,2.0
